run,epoch,success,precision
Seq old-high workers12,5,40.696937561035156,41.869808197021484
Seq old-high workers12,10,46.09081268310547,65.21444702148438
Seq old-high workers12,15,45.729759216308594,50.54158020019531
Seq old-high workers12,20,42.8851203918457,49.23085403442383
Seq old-high workers12,25,51.736324310302734,60.63239669799805
Seq old-high workers12,30,48.92888259887695,53.90918731689453
Seq old-high workers12,35,52.28337097167969,62.339168548583984
Seq old-high workers12,40,46.47811508178711,51.1739616394043
Seq old-high workers12,45,50.462799072265625,59.610504150390625
Seq old-high workers12,50,50.2024040222168,57.308536529541016
Seq old-high workers12,55,49.13457489013672,59.318382263183594
Seq old-high workers12,60,50.98577880859375,59.96171188354492
Seq old-low workers4,5,32.30306625366211,32.13566970825195
Seq old-low workers4,10,26.760393142700195,33.793216705322266
Seq old-low workers4,15,31.950769424438477,32.92341613769531
Seq old-low workers4,20,28.970462799072266,27.862146377563477
Seq old-low workers4,25,29.826038360595703,28.701311111450195
Seq old-low workers4,30,29.71881866455078,29.289934158325195
Seq old-low workers4,35,30.602848052978516,30.4135684967041
Seq old-low workers4,40,28.03173065185547,27.272430419921875
Seq old-low workers4,45,30.526262283325195,30.080965042114258
Seq old-low workers4,50,31.878555297851562,31.498905181884766
Seq old-low workers4,55,29.8523006439209,29.08534049987793
Seq old-low workers4,60,31.683805465698242,31.33698081970215
Seq rerun workers4,5,27.937639236450195,29.411378860473633
Seq rerun workers4,10,27.268051147460938,31.01203727722168
Seq rerun workers4,15,38.4387321472168,45.464988708496094
Seq rerun workers4,20,25.834793090820312,24.37636947631836
Seq rerun workers4,25,26.727571487426758,25.577678680419922
Seq rerun workers4,30,25.018600463867188,23.388402938842773
Seq rerun workers4,35,26.206785202026367,24.34026336669922
Seq rerun workers4,40,25.097373962402344,23.53173065185547
Seq rerun workers4,45,25.364330291748047,23.70787811279297
Seq rerun workers4,50,26.493436813354492,25.066740036010742
Seq rerun workers4,55,27.583152770996094,26.327133178710938
Seq rerun workers4,60,27.996719360351562,26.48358917236328
