run,validation_index,global_step,success,precision
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,1,6310,40.696937561035156,41.869808197021484
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,2,12620,46.09081268310547,65.21444702148438
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,3,18930,45.729759216308594,50.54158020019531
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,4,25240,42.8851203918457,49.23085403442383
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,5,31550,51.736324310302734,60.63239669799805
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,6,37860,48.92888259887695,53.90918731689453
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,7,44170,52.28337097167969,62.339168548583984
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,8,50480,46.47811508178711,51.1739616394043
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,9,56790,50.462799072265625,59.610504150390625
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,10,63100,50.2024040222168,57.308536529541016
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,11,69410,49.13457489013672,59.318382263183594
20260528-1633-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16,12,75720,50.98577880859375,59.96171188354492
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,1,6310,32.30306625366211,32.13566970825195
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,2,12620,26.760393142700195,33.793216705322266
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,3,18930,31.950769424438477,32.92341613769531
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,4,25240,28.970462799072266,27.862146377563477
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,5,31550,29.826038360595703,28.701311111450195
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,6,37860,29.71881866455078,29.289934158325195
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,7,44170,30.602848052978516,30.4135684967041
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,8,50480,28.03173065185547,27.272430419921875
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,9,56790,30.526262283325195,30.080965042114258
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,10,63100,31.878555297851562,31.498905181884766
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,11,69410,29.8523006439209,29.08534049987793
20260801-2155-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42,12,75720,31.683805465698242,31.33698081970215
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,1,6310,27.937639236450195,29.411378860473633
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,2,12620,27.268051147460938,31.01203727722168
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,3,18930,38.4387321472168,45.464988708496094
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,4,25240,25.834793090820312,24.37636947631836
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,5,31550,26.727571487426758,25.577678680419922
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,6,37860,25.018600463867188,23.388402938842773
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,7,44170,26.206785202026367,24.34026336669922
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,8,50480,25.097373962402344,23.53173065185547
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,9,56790,25.364330291748047,23.70787811279297
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,10,63100,26.493436813354492,25.066740036010742
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,11,69410,27.583152770996094,26.327133178710938
20260825-0057-seqtrack3d_nuscenes_mini-seqtrack_mini_baseline_car_60ep_bs16_seed42_rerun_20260825,12,75720,27.996719360351562,26.48358917236328
