arm,completed_epoch,step,metric,value,population,source
b0,1,50687,ct_epoch_core_loss_observation/loss_angle::ct_epoch_core_loss,0.00036219312460161746,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle
b0,2,101374,ct_epoch_core_loss_observation/loss_angle::ct_epoch_core_loss,0.00026977775269187987,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle
b0,3,152061,ct_epoch_core_loss_observation/loss_angle::ct_epoch_core_loss,0.00023998609685804695,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle
b0,4,202748,ct_epoch_core_loss_observation/loss_angle::ct_epoch_core_loss,0.000215109481359832,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle
b0,1,50687,ct_epoch_core_loss_observation/loss_angle_aux::ct_epoch_core_loss,0.006223101168870926,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_aux
b0,2,101374,ct_epoch_core_loss_observation/loss_angle_aux::ct_epoch_core_loss,0.001744177658110857,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_aux
b0,3,152061,ct_epoch_core_loss_observation/loss_angle_aux::ct_epoch_core_loss,0.0013503390364348888,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_aux
b0,4,202748,ct_epoch_core_loss_observation/loss_angle_aux::ct_epoch_core_loss,0.0011894843773916364,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_aux
b0,1,50687,ct_epoch_core_loss_observation/loss_angle_motion::ct_epoch_core_loss,0.0014081919798627496,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_motion
b0,2,101374,ct_epoch_core_loss_observation/loss_angle_motion::ct_epoch_core_loss,0.0009308953303843737,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_motion
b0,3,152061,ct_epoch_core_loss_observation/loss_angle_motion::ct_epoch_core_loss,0.0008132484508678317,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_motion
b0,4,202748,ct_epoch_core_loss_observation/loss_angle_motion::ct_epoch_core_loss,0.0007252533105202019,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_motion
b0,1,50687,ct_epoch_core_loss_observation/loss_angle_ref::ct_epoch_core_loss,0.004659113474190235,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_ref
b0,2,101374,ct_epoch_core_loss_observation/loss_angle_ref::ct_epoch_core_loss,0.0009817394893616438,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_ref
b0,3,152061,ct_epoch_core_loss_observation/loss_angle_ref::ct_epoch_core_loss,0.0006891900557093322,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_ref
b0,4,202748,ct_epoch_core_loss_observation/loss_angle_ref::ct_epoch_core_loss,0.000574714969843626,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_angle_ref
b0,1,50687,ct_epoch_core_loss_observation/loss_b0_observation::ct_epoch_core_loss,2.3095481395721436,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_b0_observation
