pair,metric,common_count,first_step,last_step,unequal_logged_values,max_abs_difference
b0_vs_full_cfc,loss_observation_ct_b0_rollin_rows::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_ct_b0_rollin_sample_forwards::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_ct_b0_rollin_teacher_rows::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_angle::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_angle_aux::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_angle_motion::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_angle_ref::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_b0_observation::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_b0_transaction::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_b1_transaction::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_b2_transaction::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_b3_transaction::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_bc::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_center::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_center_aux::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_center_motion::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_center_ref::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_motion_cls::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_plugin_transaction::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_seg::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_loss_total::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_motion_v3_weighted_loss::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_obs_current_delta_t_effective_ratio::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_obs_current_delta_t_ratio::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_obs_current_delta_t_real_ratio::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_obs_estimated_fg_points_mean::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_obs_mean_fg_score::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_obs_num_points_search_mean::loss_observation,2836,0,141449,0,0.0
b0_vs_full_cfc,loss_observation_obs_soft_fg_count_mean::loss_observation,2836,0,141449,0,0.0
