model,metric,final,final_epoch,final_step,best,best_epoch,best_step,mean,std,final_delta_vs_baseline,best_delta_vs_baseline
SeqTrack baseline,success/test,50.9858,60,75719,52.2834,35,44169,47.967908333333334,3.474774840057586,0.0,0.0
SeqTrack baseline,precision/test,59.9617,60,75719,65.2144,10,12619,55.92588333333333,6.395816864669351,0.0,0.0
A1-raw,success/test,28.27680778503418,60,75719,32.35557556152344,15,18929,27.853393077850342,1.8436659784925957,-22.708992214965818,-19.927824438476563
A1-raw,precision/test,27.42888641357422,60,75719,40.36105346679688,10,12619,28.393691857655842,4.878107312057729,-32.53281358642578,-24.853346533203116
A1-pseudo,success/test,48.338077545166016,60,75719,49.891685485839844,45,56789,43.89533392588297,4.434920894430533,-2.647722454833982,-2.3917145141601566
A1-pseudo,precision/test,52.250545501708984,60,75719,65.23851013183594,5,6309,50.827043215433754,7.731524730259707,-7.711154498291016,0.024110131835939796
A1-MLP,success/test,27.438732147216797,60,75719,31.570022583007812,5,6309,27.745259126027424,2.591521926632746,-23.5470678527832,-20.713377416992188
A1-MLP,precision/test,26.277902603149414,60,75719,32.77571105957031,5,6309,26.779359499613445,2.9828432808821175,-33.683797396850586,-32.438688940429685
A1-Fourier,success/test,30.723196029663086,60,75719,31.064552307128906,10,12619,28.70623795191447,2.227066321886438,-20.26260397033691,-21.218847692871094
A1-Fourier,precision/test,29.81509780883789,60,75719,30.3227596282959,15,18929,27.956055005391438,2.124786457747178,-30.14660219116211,-34.8916403717041
