run_id,arm,epoch,loss_total,loss_center,loss_center_aux,loss_center_motion,loss_center_ref,loss_angle,loss_angle_aux,loss_angle_motion,loss_angle_ref,loss_seg,loss_bc,loss_velocity,loss_dynamics_displacement,loss_trajectory_nll,loss_trajectory_adapter_norm,trajectory_sigma_mean,trajectory_adapter_norm,trajectory_adapter_scale,trajectory_gap_activation,trajectory_gap_ratio,trajectory_search_valid,trajectory_search_gap_ratio,search_expansion_points,search_query_delta_t,search_predicted_displacement,foreground_score,foreground_points,valid_history_ratio
B0,B0 baseline (historical),1,4.80427121,0.18162425,0.20562285,0.33772698,0.41243589,0.00195981,0.03323394,0.00533838,0.03457726,0.51803854,2.74372664,,,,,,,,,,,,0.0,0.49784826,0.0,0.714175,224.68051372,0.90100041
B0,B0 baseline (historical),2,2.10446323,0.114406,0.10228792,0.18290501,0.11693725,0.00079942,0.00329046,0.00201712,0.00487456,0.42428558,1.14212167,,,,,,,,,,,,0.0,0.49795752,0.0,0.71498991,218.75971932,0.90403792
B0,B0 baseline (historical),3,1.27626251,0.09671399,0.08766681,0.15590299,0.07829121,0.00071538,0.00184938,0.00170619,0.00276936,0.29666816,0.47694631,,,,,,,,,,,,0.0,0.49806672,0.0,0.61676193,186.25154429,0.90250266
B0,B0 baseline (historical),4,0.93384771,0.07930516,0.076224,0.12747941,0.05142427,0.00065803,0.00147769,0.00148498,0.00204885,0.19573979,0.27428999,,,,,,,,,,,,0.0,0.49793286,0.0,0.53566032,160.89469097,0.90372426
B0,B0 baseline (historical),5,0.80380503,0.07039378,0.07026042,0.11027724,0.0398173,0.00059713,0.00124059,0.00129498,0.00155729,0.15101693,0.22161001,,,,,,,,,,,,0.0,0.49782696,0.0,0.49521671,133.19275563,0.90375728
B0,B0 baseline (historical),6,0.72624818,0.0641705,0.0657158,0.10133557,0.03388578,0.00054182,0.00110659,0.00112175,0.00131585,0.12666392,0.19258989,,,,,,,,,,,,0.0,0.49793372,0.0,0.48608397,130.7193024,0.90390585
B0,B0 baseline (historical),7,0.67405626,0.06140006,0.06216608,0.09332635,0.02962717,0.00051396,0.00100354,0.00110461,0.00112348,0.10878557,0.17308013,,,,,,,,,,,,0.0,0.49785507,0.0,0.46799041,123.77371453,0.9023871
B0,B0 baseline (historical),8,0.6219975,0.0565174,0.05845284,0.08387682,0.02626657,0.00049689,0.00091886,0.00099885,0.00088442,0.10019312,0.1623007,,,,,,,,,,,,0.0,0.49790208,0.0,0.45972415,119.29712643,0.90322902
B0,B0 baseline (historical),9,0.59041808,0.05426128,0.05710513,0.07999388,0.0241088,0.00046683,0.00088081,0.00093222,0.00086191,0.09387837,0.14850103,,,,,,,,,,,,0.0,0.49798742,0.0,0.45522532,119.6767261,0.90242012
B0,B0 baseline (historical),10,0.55257875,0.05045289,0.05400009,0.07413423,0.02147175,0.00044008,0.00079005,0.0008861,0.00071948,0.08946211,0.13984128,,,,,,,,,,,,0.0,0.49789724,0.0,0.45251792,116.18435771,0.90428554
B0,B0 baseline (historical),11,0.51752527,0.0468737,0.05100896,0.06882286,0.02074003,0.00041956,0.00076759,0.00081698,0.00072898,0.08408184,0.13106684,,,,,,,,,,,,0.0,0.49801458,0.0,0.44755287,115.82691942,0.90352617
B0,B0 baseline (historical),12,0.5106501,0.04747371,0.05065058,0.06655578,0.02004804,0.0004207,0.00077712,0.00081226,0.00069458,0.07883506,0.12916129,,,,,,,,,,,,0.0,0.49792121,0.0,0.44561938,112.64332569,0.90200741
B0,B0 baseline (historical),13,0.47755764,0.0440368,0.04662731,0.06200806,0.01851069,0.00041066,0.00072963,0.00080217,0.00064235,0.07764091,0.12151831,,,,,,,,,,,,0.0,0.49781735,0.0,0.44377154,113.16014068,0.90446713
B0,B0 baseline (historical),14,0.4505647,0.04138024,0.04411392,0.05714475,0.01799308,0.00038524,0.00070738,0.00074187,0.00060459,0.0753589,0.11705973,,,,,,,,,,,,0.0,0.49805811,0.0,0.44333446,113.86959238,0.903196
B0,B0 baseline (historical),15,0.46126906,0.04282662,0.04534299,0.06062332,0.01738053,0.00038407,0.00069014,0.0007357,0.00059637,0.07440836,0.11544278,,,,,,,,,,,,0.0,0.49810121,0.0,0.43942517,113.59371071,0.90342712
B0,B0 baseline (historical),16,0.4491309,0.04149894,0.04432447,0.05825384,0.01666192,0.00038421,0.00068405,0.00071129,0.00058498,0.07247309,0.11340262,,,,,,,,,,,,0.0,0.49802348,0.0,0.43679988,110.24182679,0.90390586
B0,B0 baseline (historical),17,0.40663792,0.03803922,0.04058247,0.05101751,0.01538168,0.00034268,0.0005993,0.00064617,0.00051833,0.06664844,0.1039151,,,,,,,,,,,,0.0,0.49793622,0.0,0.43268034,114.99032994,0.90293187
B0,B0 baseline (historical),18,0.38711538,0.03607639,0.04021117,0.0466753,0.01571299,0.00034601,0.00064218,0.00061674,0.00055307,0.06377438,0.09867159,,,,,,,,,,,,0.0,0.49803235,0.0,0.43331175,109.54906565,0.90344363
B0,B0 baseline (historical),19,0.40511919,0.03841852,0.04122253,0.05054324,0.0150203,0.00034695,0.0005984,0.00061925,0.00050235,0.06560411,0.10215752,,,,,,,,,,,,0.0,0.4980136,0.0,0.43558453,113.23700901,0.9027833
B0,B0 baseline (historical),20,0.38137304,0.03585212,0.03847745,0.04691901,0.01480338,0.00033443,0.00057461,0.00057487,0.00048124,0.06218961,0.0977068,,,,,,,,,,,,0.0,0.49793465,0.0,0.43040919,107.11456963,0.90228805
B0,B0 baseline (historical),21,0.31415881,0.03015399,0.03040964,0.03470917,0.01146434,0.00028888,0.00033524,0.00047786,0.00022603,0.06014557,0.08942996,,,,,,,,,,,,0.0,0.49784701,0.0,0.42593079,108.96984831,0.90367474
B0,B0 baseline (historical),22,0.29509155,0.02752268,0.02839171,0.03346633,0.01079815,0.00028567,0.00032975,0.00047429,0.0002072,0.05615353,0.08394264,,,,,,,,,,,,0.0,0.4979905,0.0,0.42945443,109.18748178,0.90288235
B0,B0 baseline (historical),23,0.27507078,0.02582772,0.0266541,0.02945646,0.01064213,0.00026911,0.00031571,0.00043368,0.00020204,0.0544809,0.08009388,,,,,,,,,,,,0.0,0.49801057,0.0,0.42831236,110.17852659,0.90321251
B0,B0 baseline (historical),24,0.28321242,0.02753596,0.02799226,0.03015842,0.0104594,0.00027338,0.00031652,0.00044221,0.00019831,0.05503759,0.08066559,,,,,,,,,,,,0.0,0.49798841,0.0,0.42565244,108.96575678,0.90443412
B0,B0 baseline (historical),25,0.27209423,0.02579383,0.02658516,0.02918887,0.0102876,0.00027534,0.00031721,0.00044833,0.00019338,0.05386818,0.07864072,,,,,,,,,,,,0.0,0.49789018,0.0,0.42736326,108.82608889,0.90367474
B0,B0 baseline (historical),26,0.26960875,0.02524817,0.02596291,0.02853301,0.01007587,0.00026384,0.00030632,0.00041968,0.00018372,0.05336017,0.08049203,,,,,,,,,,,,0.0,0.49806565,0.0,0.42406236,108.73823731,0.90334458
B0,B0 baseline (historical),27,0.26932438,0.02544726,0.02588463,0.02882078,0.01009384,0.00027489,0.00031795,0.00044885,0.00019015,0.05257911,0.0785094,,,,,,,,,,,,0.0,0.49783368,0.0,0.42575223,107.71897561,0.90357569
B0,B0 baseline (historical),28,0.26182009,0.02462968,0.02516973,0.0278284,0.00996239,0.00026208,0.0003056,0.00043317,0.00018134,0.05263624,0.07672243,,,,,,,,,,,,0.0,0.49798418,0.0,0.42720699,108.17015558,0.90454967
B0,B0 baseline (historical),29,0.25869228,0.02443328,0.02499533,0.02748517,0.00983252,0.00026885,0.00030931,0.0004262,0.00018193,0.05197668,0.07589437,,,,,,,,,,,,0.0,0.49793496,0.0,0.42565331,108.62669063,0.9037903
B0,B0 baseline (historical),30,0.25553822,0.02390658,0.02437135,0.02690303,0.0098655,0.00027396,0.00031497,0.000442,0.00018739,0.05144778,0.07583015,,,,,,,,,,,,0.0,0.4978482,0.0,0.42489166,108.45034162,0.90349315
B0,B0 baseline (historical),31,0.25151732,0.02415846,0.02418506,0.02557314,0.00969858,0.00025802,0.00029971,0.00042521,0.00018427,0.05076333,0.07514501,,,,,,,,,,,,0.0,0.4978495,0.0,0.4233776,106.10501232,0.902189
B0,B0 baseline (historical),32,0.24729928,0.02411752,0.02407758,0.02475055,0.00956081,0.00025082,0.00028737,0.0003833,0.00017567,0.05096908,0.07393012,,,,,,,,,,,,0.0,0.49792603,0.0,0.4258582,108.51151883,0.90248615
B0,B0 baseline (historical),33,0.2481129,0.0238573,0.02401468,0.02549752,0.00964785,0.00026283,0.00030266,0.00040589,0.00017366,0.05050131,0.07325215,,,,,,,,,,,,0.0,0.49791517,0.0,0.42677535,107.12971261,0.90205694
B0,B0 baseline (historical),34,0.23943409,0.02314187,0.02298351,0.02403839,0.0094361,0.00024837,0.00028336,0.00037516,0.00017075,0.0499708,0.0719895,,,,,,,,,,,,0.0,0.49780693,0.0,0.42246089,106.0743587,0.90369125
B0,B0 baseline (historical),35,0.24616156,0.02377097,0.02382304,0.02599987,0.00938189,0.00024672,0.00028407,0.00039053,0.00017115,0.05135134,0.0715049,,,,,,,,,,,,0.0,0.49791897,0.0,0.42406414,108.49136768,0.90374077
B0,B0 baseline (historical),36,0.24536314,0.02404906,0.0237371,0.02546465,0.00934723,0.00025551,0.00029077,0.0004013,0.00016758,0.049385,0.07212077,,,,,,,,,,,,0.0,0.49788015,0.0,0.42365561,109.50670535,0.903196
B0,B0 baseline (historical),37,0.24023547,0.02340161,0.02337894,0.02405782,0.00925038,0.00026376,0.00029805,0.00039892,0.00016557,0.0490453,0.07171366,,,,,,,,,,,,0.0,0.49804581,0.0,0.42223423,110.15854208,0.90375728
B0,B0 baseline (historical),38,0.23625162,0.02261332,0.02250295,0.02335833,0.00921583,0.00024813,0.00028609,0.00038923,0.00016355,0.05007555,0.07260394,,,,,,,,,,,,0.0,0.49789531,0.0,0.42123238,105.0505203,0.9019744
B0,B0 baseline (historical),39,0.23969436,0.02430047,0.02296771,0.02391171,0.00917937,0.00024712,0.00028179,0.00037755,0.00016861,0.04945729,0.07090417,,,,,,,,,,,,0.0,0.49799579,0.0,0.42438881,109.09412536,0.90456618
B0,B0 baseline (historical),40,0.22888002,0.02205551,0.02218515,0.02258315,0.00912451,0.00024489,0.00027772,0.00037488,0.00016499,0.04870021,0.06924588,,,,,,,,,,,,0.0,0.49784625,0.0,0.42429147,108.14528832,0.90273377
B0,B0 baseline (historical),41,0.23383831,0.02287218,0.02261763,0.02375833,0.00883137,0.00025435,0.00027554,0.00038253,0.00015325,0.04859886,0.06926333,,,,,,,,,,,,0.0,0.49783906,0.0,0.42224748,104.84252366,0.90412046
B0,B0 baseline (historical),42,0.2290345,0.02255929,0.02171591,0.02303794,0.00886306,0.00023353,0.00025236,0.00037333,0.00015218,0.04858773,0.06920359,,,,,,,,,,,,0.0,0.49785097,0.0,0.42378249,107.25224058,0.9040049
B0,B0 baseline (historical),43,0.23039603,0.02157921,0.02105355,0.02389897,0.00882073,0.00026428,0.0002879,0.00043956,0.00015117,0.04822434,0.07071472,,,,,,,,,,,,0.0,0.49787173,0.0,0.42396018,107.87466829,0.90182582
B0,B0 baseline (historical),44,0.22585864,0.02195288,0.02090901,0.02251642,0.00888429,0.00023512,0.00025317,0.00036892,0.00015378,0.04800458,0.06951105,,,,,,,,,,,,0.0,0.49792756,0.0,0.42329727,106.70100349,0.9040049
B0,B0 baseline (historical),45,0.22041216,0.02165086,0.02015815,0.02134562,0.00888045,0.00023677,0.0002567,0.00035327,0.00014885,0.04824523,0.06916779,,,,,,,,,,,,0.0,0.49779457,0.0,0.42168204,106.01263665,0.9035922
B0,B0 baseline (historical),46,0.22226767,0.02127142,0.02102681,0.02163026,0.00878061,0.00025382,0.00027339,0.00039831,0.00014513,0.04748271,0.06897789,,,,,,,,,,,,0.0,0.4978995,0.0,0.42349092,105.38165229,0.90327854
B0,B0 baseline (historical),47,0.22883751,0.02286566,0.02190562,0.02222162,0.00880849,0.00025243,0.00027227,0.00038028,0.00014695,0.047974,0.0691774,,,,,,,,,,,,0.0,0.49786085,0.0,0.42212085,107.89143723,0.90260171
B0,B0 baseline (historical),48,0.22300171,0.0214237,0.02099834,0.0223148,0.00883495,0.00023005,0.00024856,0.00035884,0.00014902,0.04772322,0.06883702,,,,,,,,,,,,0.0,0.49788359,0.0,0.42274888,109.3165168,0.90200741
B0,B0 baseline (historical),49,0.2211284,0.02158067,0.0207429,0.02090834,0.00875687,0.00023708,0.00025629,0.00036421,0.00014637,0.04756218,0.0695558,,,,,,,,,,,,0.0,0.49789824,0.0,0.42209752,108.31701811,0.90294838
B0,B0 baseline (historical),50,0.2251123,0.02154217,0.02126737,0.02243695,0.00874279,0.00024364,0.0002606,0.00038561,0.00014554,0.04852213,0.06925794,,,,,,,,,,,,0.0,0.49804059,0.0,0.42462921,108.34041441,0.90303092
B0,B0 baseline (historical),51,0.22304055,0.02212423,0.02130176,0.02167969,0.00878117,0.00022666,0.00024596,0.00033298,0.00014871,0.04822973,0.0686899,,,,,,,,,,,,0.0,0.49799192,0.0,0.42367474,108.30856888,0.90296489
B0,B0 baseline (historical),52,0.22753764,0.02239394,0.02120412,0.02291089,0.00872749,0.00025639,0.00027594,0.00039545,0.00014652,0.04721298,0.06843968,,,,,,,,,,,,0.0,0.49782112,0.0,0.42241322,107.23852255,0.90304743
B0,B0 baseline (historical),53,0.22462949,0.02182349,0.02119951,0.02256724,0.00875603,0.00024282,0.0002626,0.00036326,0.00014806,0.04870025,0.06845185,,,,,,,,,,,,0.0,0.49790046,0.0,0.42102755,106.50721428,0.90397189
