check,observed,expected,passed
training_steps,75720,75720,True
validation_points,12,12,True
training_epoch_rows,60,60,True
epoch60_checkpoint,75720,75720,True
last_matches_epoch59_sha256,8590c37c20fb73466f1cbc4011aababcdae45ff4d05eeb5e4afa0a00421e6b75,8590c37c20fb73466f1cbc4011aababcdae45ff4d05eeb5e4afa0a00421e6b75,True
train_selection_matches_b0,7b4e9cca2038e7cb6c9483943b627af18e433c16e13b52bcd1478b14a6a25100,7b4e9cca2038e7cb6c9483943b627af18e433c16e13b52bcd1478b14a6a25100,True
val_selection_matches_b0,35498888d322fdcbef06d1621aa3376d32a9417138a1f8126dc2589088d58826,35498888d322fdcbef06d1621aa3376d32a9417138a1f8126dc2589088d58826,True
scratch_training,,,True
v3_git_commit,5f260e74b7fb5799720b8a172b916159b5bf6cf4,recorded,True
v3_tracked_source_clean,False,True,False
same_commit_as_historical_b0,5f260e74b7fb5799720b8a172b916159b5bf6cf4,d86990ce5304258822c1748d17f997f6ec003e9c,False
