epoch,main_prior_rmse_m,main_cv_rmse_m,main_improvement_pct,candidate0_prior_rmse_m,candidate0_cv_rmse_m,candidate0_improvement_pct,candidate_nonzero_prior_rmse_m,candidate_nonzero_cv_rmse_m,candidate_nonzero_improvement_pct,aux_prior_rmse_m,aux_cv_rmse_m,aux_improvement_pct,gap2_prior_rmse_m,gap2_cv_rmse_m,gap2_improvement_pct,gap4_prior_rmse_m,gap4_cv_rmse_m,gap4_improvement_pct,alpha_utilization,gate_applied_rate,gate_precision,helpful_rate,correction_norm_m,clip_rate,observation_error_m,prior_box_error_m,final_error_m,prior_valid_rate,history_valid_ratio,aux_history_valid_ratio,prior_loss,aux_prior_loss,fused_loss,gate_loss,actual_alpha_mean
1,0.403991,0.410639,1.618842,0.392714,0.397831,1.286214,0.407697,0.414838,1.721495,1.34225,1.385798,3.142466,0.759511,0.781789,2.849673,1.786577,1.84568,3.202203,,,,,,,,,,0.904665,0.903741,0.78579,0.025444,0.197289,,,
2,0.38453,0.398422,3.48672,0.366282,0.376809,2.793834,0.390488,0.405447,3.689352,1.307538,1.402253,6.75446,0.722569,0.768142,5.932963,1.753703,1.883926,6.912359,,,,,,,,,,0.903179,0.902156,0.784288,0.023711,0.182015,,,
3,0.406679,0.421459,3.506999,0.39348,0.40414,2.63772,0.410977,0.427067,3.767585,1.318792,1.425212,7.466968,0.735144,0.786298,6.505691,1.758266,1.903978,7.653055,,,,,,,,,,0.904814,0.902965,0.785295,0.024901,0.185835,,,
4,0.384186,0.401619,4.340576,0.404767,0.417463,3.041108,0.377086,0.396204,4.825321,1.266317,1.382338,8.39311,0.708811,0.760799,6.833449,1.689438,1.850336,8.695632,,,,,,,,,,0.905804,0.904665,0.786467,0.023259,0.179253,,,
5,0.378375,0.396649,4.606981,0.364003,0.380706,4.387307,0.382988,0.401759,4.672016,1.275414,1.397388,8.728689,0.727518,0.785939,7.433272,1.692234,1.85943,8.991789,,,,,,,,,,0.904814,0.902932,0.784122,0.023084,0.175805,,,
6,0.3756,0.394266,4.734184,0.39178,0.406274,3.567408,0.370063,0.39019,5.158368,1.26084,1.392784,9.473416,0.707138,0.767421,7.855352,1.678705,1.860822,9.786954,,,,,,,,,,0.903922,0.903097,0.786037,0.022488,0.173978,,,
7,0.374255,0.39351,4.893085,0.361168,0.373772,3.37211,0.378508,0.399859,5.339728,1.257501,1.403178,10.381935,0.708183,0.769292,7.943534,1.676946,1.881131,10.854353,,,,,,,,,,0.904368,0.903014,0.785575,0.022723,0.17384,,,
8,0.385686,0.405233,4.82354,0.395013,0.411817,4.080448,0.382523,0.403011,5.083849,1.274188,1.41523,9.966005,0.722157,0.783164,7.789829,1.692935,1.889303,10.393699,,,,,,,,,,0.904319,0.903246,0.787242,0.023275,0.175284,,,
9,0.38243,0.402392,4.960668,0.390486,0.406746,3.997607,0.379729,0.400941,5.290686,1.228123,1.382079,11.139434,0.718457,0.783939,8.352985,1.619109,1.834093,11.721511,,,,,,,,,,0.904319,0.903295,0.78508,0.023241,0.169039,,,
10,0.397266,0.417643,4.879041,0.376034,0.390783,3.774253,0.404054,0.426169,5.189086,1.250025,1.403235,10.918339,0.733148,0.797982,8.124771,1.648229,1.862546,11.506665,,,,,,,,,,0.904913,0.903642,0.787886,0.023937,0.172248,,,
11,0.37549,0.397478,5.531728,0.363265,0.380229,4.461698,0.379438,0.403007,5.848322,1.219752,1.369369,10.925976,0.69468,0.762497,8.894039,1.623017,1.830475,11.333593,0.44862,0.434057,0.628502,0.699828,0.045843,0.132226,0.357585,0.271611,0.332223,0.904665,0.903708,0.786252,0.022518,0.168263,0.068403,0.906151,0.22431
12,0.387005,0.408787,5.328251,0.402397,0.419674,4.116783,0.38177,0.405116,5.762682,1.23863,1.392664,11.060361,0.732759,0.79733,8.098402,1.635669,1.852422,11.701078,0.527301,0.590811,0.696585,0.688081,0.05457,0.13173,0.351975,0.273832,0.322464,0.903179,0.902305,0.785476,0.023728,0.168924,0.065816,0.712325,0.263651
13,0.382636,0.405529,5.645175,0.405409,0.421505,3.818664,0.374855,0.400143,6.319646,1.272253,1.422701,10.574823,0.750344,0.816845,8.141184,1.678458,1.888043,11.100631,0.534478,0.653686,0.694374,0.679569,0.054075,0.131664,0.347409,0.275975,0.318864,0.905656,0.904533,0.786863,0.023512,0.16933,0.062229,0.698234,0.267239
14,0.37589,0.398792,5.742754,0.361532,0.380296,4.934089,0.380531,0.404737,5.980749,1.24583,1.403952,11.262641,0.702549,0.769813,8.737745,1.659744,1.88076,11.751433,0.536173,0.677858,0.691486,0.664586,0.051338,0.122231,0.333551,0.273823,0.307472,0.90308,0.902024,0.783611,0.023035,0.170928,0.058548,0.692124,0.268087
15,0.381333,0.405386,5.933382,0.38236,0.403391,5.213573,0.380992,0.406044,6.169801,1.244905,1.412127,11.841892,0.698302,0.773315,9.700298,1.661541,1.893602,12.254999,0.536493,0.679731,0.699038,0.670527,0.051256,0.122415,0.332108,0.273271,0.306051,0.904319,0.902915,0.785063,0.02305,0.166871,0.058706,0.690846,0.268246
16,0.383576,0.409246,6.272509,0.387163,0.40776,5.051207,0.382384,0.409735,6.6754,1.221673,1.392166,12.246588,0.71423,0.790677,9.668518,1.612705,1.849175,12.787854,0.537329,0.704136,0.697588,0.665908,0.050987,0.118708,0.328124,0.273186,0.302841,0.903922,0.902767,0.785806,0.023321,0.166797,0.058782,0.68902,0.268665
17,0.380735,0.407078,6.471141,0.352627,0.373486,5.58493,0.389632,0.417648,6.708188,1.193282,1.361666,12.366004,0.698078,0.775965,10.03742,1.579643,1.812805,12.861921,0.535298,0.693706,0.702134,0.661579,0.049879,0.116529,0.325057,0.272407,0.300099,0.903279,0.902503,0.784651,0.022915,0.160523,0.056209,0.682813,0.267649
18,0.394668,0.42221,6.523165,0.41765,0.443797,5.891693,0.386757,0.414814,6.763651,1.225619,1.403023,12.644414,0.738553,0.812967,9.153384,1.608947,1.858375,13.421827,0.539238,0.686427,0.703029,0.658798,0.049972,0.118606,0.321703,0.273147,0.296844,0.903378,0.902139,0.785212,0.023921,0.163816,0.053982,0.68209,0.269619
19,0.362835,0.388909,6.704366,0.353714,0.375359,5.76654,0.365806,0.393294,6.989145,1.210347,1.392847,13.102665,0.690424,0.766951,9.978044,1.605785,1.860993,13.713568,0.538824,0.700046,0.688385,0.650707,0.049239,0.115123,0.317874,0.269927,0.293749,0.905111,0.903741,0.786368,0.021365,0.161947,0.053144,0.680732,0.269412
20,0.376515,0.405167,7.071566,0.379135,0.406499,6.731588,0.375648,0.404727,7.18478,1.193581,1.378127,13.391046,0.695514,0.778792,10.693248,1.579747,1.835933,13.954031,0.52995,0.683837,0.68571,0.63716,0.048412,0.116671,0.311501,0.272782,0.288614,0.903823,0.902948,0.785344,0.022565,0.162618,0.051344,0.681794,0.264975
21,0.366773,0.397384,7.702915,0.36195,0.388514,6.837193,0.368382,0.400323,7.97888,1.22121,1.408028,13.26805,0.685464,0.768231,10.773698,1.630202,1.890015,13.746625,0.538034,0.637396,0.613304,0.551499,0.037196,0.076513,0.267399,0.268146,0.255136,0.90412,0.902552,0.784667,0.021874,0.161669,0.040809,0.67152,0.269017
22,0.37672,0.406246,7.268031,0.357447,0.382503,6.550533,0.382896,0.413818,7.472293,1.173766,1.366297,14.091401,0.705891,0.788013,10.421361,1.541587,1.811516,14.90075,0.530043,0.61466,0.607401,0.534793,0.036281,0.074556,0.264507,0.270039,0.253155,0.903972,0.90275,0.784387,0.022157,0.157248,0.039583,0.668544,0.265021
23,0.369659,0.40009,7.606053,0.37982,0.409297,7.201774,0.366196,0.396961,7.7503,1.193449,1.384666,13.809563,0.683331,0.76617,10.812107,1.587419,1.854618,14.407214,0.534087,0.625425,0.605376,0.540717,0.036309,0.073336,0.257975,0.268052,0.246992,0.905458,0.903873,0.786599,0.021724,0.157051,0.037239,0.670249,0.267043
24,0.373212,0.402605,7.300705,0.384009,0.410579,6.471464,0.369539,0.399909,7.594132,1.180846,1.380168,14.441887,0.699495,0.785577,10.957758,1.556774,1.835506,15.185567,0.532788,0.600401,0.60085,0.521001,0.03559,0.070388,0.256651,0.270052,0.246139,0.906002,0.904434,0.788117,0.021962,0.157526,0.036094,0.665762,0.266394
25,0.367378,0.398049,7.70523,0.386796,0.411305,5.958793,0.36066,0.393522,8.350718,1.20001,1.391113,13.737398,0.692123,0.780751,11.351633,1.588405,1.851792,14.223323,0.534478,0.596043,0.596189,0.517141,0.035346,0.071804,0.254301,0.268296,0.244078,0.903576,0.902684,0.785509,0.021651,0.160636,0.035169,0.661598,0.267239
26,0.384238,0.413638,7.10763,0.34662,0.371666,6.738896,0.395938,0.426661,7.200761,1.172627,1.373585,14.630172,0.677802,0.765082,11.40793,1.549616,1.829027,15.276468,0.535403,0.59111,0.595215,0.513942,0.035006,0.071392,0.25398,0.271239,0.244368,0.903823,0.903246,0.785443,0.022718,0.155989,0.035534,0.662749,0.267702
27,0.381593,0.411683,7.30897,0.367056,0.390786,6.072326,0.386307,0.418402,7.670878,1.216926,1.40651,13.479014,0.696023,0.77838,10.580485,1.61442,1.878379,14.052487,0.534985,0.586488,0.589234,0.517777,0.035,0.072877,0.254108,0.270128,0.244143,0.905012,0.903493,0.785146,0.022555,0.161102,0.036188,0.662665,0.267493
28,0.381005,0.41178,7.473609,0.374391,0.400795,6.587937,0.38317,0.415353,7.748352,1.216077,1.407398,13.593912,0.708788,0.792361,10.54732,1.609108,1.875967,14.225168,0.536024,0.602787,0.590868,0.502452,0.035166,0.071733,0.249825,0.271903,0.240445,0.90417,0.903113,0.785971,0.023032,0.161335,0.035,0.660082,0.268012
29,0.362918,0.394805,8.076712,0.361981,0.390305,7.256901,0.363227,0.396282,8.341271,1.201635,1.396124,13.930624,0.706706,0.790929,10.648608,1.582339,1.853225,14.616981,0.536192,0.591256,0.575718,0.495662,0.034796,0.070134,0.247337,0.269082,0.238528,0.905111,0.903955,0.78711,0.021847,0.158041,0.033342,0.661778,0.268096
30,0.387383,0.419216,7.593526,0.361976,0.395082,8.379467,0.395577,0.427042,7.368066,1.200531,1.391993,13.754504,0.705513,0.794262,11.173767,1.589674,1.85512,14.308831,0.525918,0.556859,0.591673,0.492033,0.033996,0.069362,0.245104,0.268181,0.235929,0.903823,0.902437,0.784205,0.022573,0.156388,0.032533,0.656322,0.262959
31,0.374473,0.403943,7.295578,0.372199,0.397533,6.372679,0.375233,0.406073,7.594678,1.19527,1.3971,14.446339,0.703935,0.789631,10.852664,1.581285,1.86484,15.205306,0.53395,0.574695,0.577924,0.490864,0.034696,0.072709,0.248139,0.270874,0.239057,0.903576,0.902552,0.785493,0.022469,0.157376,0.03354,0.660438,0.266975
32,0.382837,0.412455,7.180794,0.382684,0.407421,6.071614,0.382888,0.414121,7.541993,1.185882,1.378664,13.983221,0.708777,0.795325,10.882088,1.559591,1.8276,14.664516,0.53012,0.566093,0.574664,0.485802,0.034062,0.067944,0.246436,0.269601,0.237642,0.905755,0.904616,0.787028,0.022689,0.156333,0.033406,0.660082,0.26506
33,0.367519,0.397639,7.574728,0.356292,0.383412,7.073533,0.371208,0.402297,7.727914,1.201526,1.400222,14.190318,0.683245,0.770688,11.346068,1.600634,1.877574,14.749878,0.531556,0.565474,0.574805,0.486931,0.033783,0.068074,0.243712,0.26803,0.235304,0.905854,0.904533,0.78711,0.021753,0.156455,0.031233,0.659448,0.265778
34,0.363671,0.394373,7.785054,0.374348,0.400111,6.4391,0.360036,0.392439,8.256784,1.179765,1.373311,14.09342,0.693331,0.780792,11.201552,1.561001,1.830214,14.709357,0.532729,0.562956,0.586528,0.492599,0.033996,0.070139,0.244987,0.268581,0.236336,0.905606,0.904517,0.78716,0.021375,0.154232,0.031092,0.6581,0.266365
