model,metric,point_idx,epoch,step,value
SeqTrack baseline 180ep,success/test,0,5,6310,40.508750915527344
SeqTrack baseline 180ep,success/test,1,10,12620,45.74726867675781
SeqTrack baseline 180ep,success/test,2,15,18930,48.14332962036133
SeqTrack baseline 180ep,success/test,3,20,25240,39.235233306884766
SeqTrack baseline 180ep,success/test,4,25,31550,50.27462387084961
SeqTrack baseline 180ep,success/test,5,30,37860,48.41465759277344
SeqTrack baseline 180ep,success/test,6,35,44170,51.539390563964844
SeqTrack baseline 180ep,success/test,7,40,50480,45.15864944458008
SeqTrack baseline 180ep,success/test,8,45,56790,52.009849548339844
SeqTrack baseline 180ep,success/test,9,50,63100,50.39496994018555
SeqTrack baseline 180ep,success/test,10,55,69410,51.10831832885742
SeqTrack baseline 180ep,success/test,11,60,75720,51.04924011230469
SeqTrack baseline 180ep,success/test,12,65,82030,50.823856353759766
SeqTrack baseline 180ep,success/test,13,70,88340,51.04267120361328
SeqTrack baseline 180ep,success/test,14,75,94650,50.63348388671875
SeqTrack baseline 180ep,success/test,15,80,100960,52.06454849243164
SeqTrack baseline 180ep,success/test,16,85,107270,51.169586181640625
SeqTrack baseline 180ep,success/test,17,90,113580,50.49562454223633
SeqTrack baseline 180ep,success/test,18,95,119890,50.11487579345703
SeqTrack baseline 180ep,success/test,19,100,126200,51.32713317871094
SeqTrack baseline 180ep,success/test,20,105,132510,51.005470275878906
SeqTrack baseline 180ep,success/test,21,110,138820,51.780086517333984
SeqTrack baseline 180ep,success/test,22,115,145130,51.13895034790039
SeqTrack baseline 180ep,success/test,23,120,151440,50.530635833740234
SeqTrack baseline 180ep,success/test,24,125,157750,50.28336715698242
SeqTrack baseline 180ep,success/test,25,130,164060,50.265865325927734
SeqTrack baseline 180ep,success/test,26,135,170370,50.69475173950195
SeqTrack baseline 180ep,success/test,27,140,176680,50.808536529541016
SeqTrack baseline 180ep,success/test,28,145,182990,50.45623779296875
SeqTrack baseline 180ep,success/test,29,150,189300,50.191463470458984
SeqTrack baseline 180ep,success/test,30,155,195610,51.530635833740234
SeqTrack baseline 180ep,success/test,31,160,201920,51.91575241088867
SeqTrack baseline 180ep,success/test,32,165,208230,50.655364990234375
SeqTrack baseline 180ep,success/test,33,170,214540,50.79759216308594
SeqTrack baseline 180ep,success/test,34,175,220850,50.11050796508789
SeqTrack baseline 180ep,success/test,35,180,227160,51.33588790893555
SeqTrack baseline 180ep,precision/test,0,5,6310,37.89496994018555
SeqTrack baseline 180ep,precision/test,1,10,12620,63.70459747314453
SeqTrack baseline 180ep,precision/test,2,15,18930,59.5010986328125
SeqTrack baseline 180ep,precision/test,3,20,25240,44.11050033569336
SeqTrack baseline 180ep,precision/test,4,25,31550,56.38949966430664
SeqTrack baseline 180ep,precision/test,5,30,37860,53.61378860473633
SeqTrack baseline 180ep,precision/test,6,35,44170,61.447479248046875
SeqTrack baseline 180ep,precision/test,7,40,50480,49.50328063964844
SeqTrack baseline 180ep,precision/test,8,45,56790,62.91575622558594
SeqTrack baseline 180ep,precision/test,9,50,63100,58.61707305908203
SeqTrack baseline 180ep,precision/test,10,55,69410,60.712249755859375
SeqTrack baseline 180ep,precision/test,11,60,75720,60.175048828125
SeqTrack baseline 180ep,precision/test,12,65,82030,59.273521423339844
SeqTrack baseline 180ep,precision/test,13,70,88340,59.625816345214844
SeqTrack baseline 180ep,precision/test,14,75,94650,59.4135627746582
SeqTrack baseline 180ep,precision/test,15,80,100960,61.36323928833008
SeqTrack baseline 180ep,precision/test,16,85,107270,59.71772766113281
SeqTrack baseline 180ep,precision/test,17,90,113580,58.65864181518555
SeqTrack baseline 180ep,precision/test,18,95,119890,58.390594482421875
SeqTrack baseline 180ep,precision/test,19,100,126200,59.970462799072266
SeqTrack baseline 180ep,precision/test,20,105,132510,59.2625846862793
SeqTrack baseline 180ep,precision/test,21,110,138820,60.71662902832031
SeqTrack baseline 180ep,precision/test,22,115,145130,59.735233306884766
SeqTrack baseline 180ep,precision/test,23,120,151440,58.92121887207031
SeqTrack baseline 180ep,precision/test,24,125,157750,58.48139953613281
SeqTrack baseline 180ep,precision/test,25,130,164060,58.725379943847656
SeqTrack baseline 180ep,precision/test,26,135,170370,59.138954162597656
SeqTrack baseline 180ep,precision/test,27,140,176680,59.5557975769043
SeqTrack baseline 180ep,precision/test,28,145,182990,58.60393524169922
SeqTrack baseline 180ep,precision/test,29,150,189300,58.289939880371094
SeqTrack baseline 180ep,precision/test,30,155,195610,60.448585510253906
SeqTrack baseline 180ep,precision/test,31,160,201920,60.785560607910156
SeqTrack baseline 180ep,precision/test,32,165,208230,58.754920959472656
SeqTrack baseline 180ep,precision/test,33,170,214540,59.31838607788086
SeqTrack baseline 180ep,precision/test,34,175,220850,58.21772766113281
SeqTrack baseline 180ep,precision/test,35,180,227160,60.1466064453125
CT-SeqTrack A2-order-dyn 180ep,success/test,0,5,6310,43.8829345703125
CT-SeqTrack A2-order-dyn 180ep,success/test,1,10,12620,46.891685485839844
CT-SeqTrack A2-order-dyn 180ep,success/test,2,15,18930,39.85011291503906
CT-SeqTrack A2-order-dyn 180ep,success/test,3,20,25240,34.55689239501953
CT-SeqTrack A2-order-dyn 180ep,success/test,4,25,31550,35.318382263183594
CT-SeqTrack A2-order-dyn 180ep,success/test,5,30,37860,34.318382263183594
CT-SeqTrack A2-order-dyn 180ep,success/test,6,35,44170,30.64441680908203
CT-SeqTrack A2-order-dyn 180ep,success/test,7,40,50480,30.688186645507812
CT-SeqTrack A2-order-dyn 180ep,success/test,8,45,56790,31.52625846862793
CT-SeqTrack A2-order-dyn 180ep,success/test,9,50,63100,31.13020133972168
CT-SeqTrack A2-order-dyn 180ep,success/test,10,55,69410,32.23741912841797
CT-SeqTrack A2-order-dyn 180ep,success/test,11,60,75720,32.160831451416016
CT-SeqTrack A2-order-dyn 180ep,success/test,12,65,82030,30.799779891967773
CT-SeqTrack A2-order-dyn 180ep,success/test,13,70,88340,30.62691307067871
CT-SeqTrack A2-order-dyn 180ep,success/test,14,75,94650,30.563459396362305
CT-SeqTrack A2-order-dyn 180ep,success/test,15,80,100960,30.230850219726562
CT-SeqTrack A2-order-dyn 180ep,success/test,16,85,107270,30.891687393188477
CT-SeqTrack A2-order-dyn 180ep,success/test,17,90,113580,30.143325805664062
CT-SeqTrack A2-order-dyn 180ep,success/test,18,95,119890,30.683813095092773
CT-SeqTrack A2-order-dyn 180ep,success/test,19,100,126200,31.79102897644043
CT-SeqTrack A2-order-dyn 180ep,success/test,20,105,132510,32.11925506591797
CT-SeqTrack A2-order-dyn 180ep,success/test,21,110,138820,30.9989070892334
CT-SeqTrack A2-order-dyn 180ep,success/test,22,115,145130,31.001094818115234
CT-SeqTrack A2-order-dyn 180ep,success/test,23,120,151440,30.87417984008789
CT-SeqTrack A2-order-dyn 180ep,success/test,24,125,157750,31.04485511779785
CT-SeqTrack A2-order-dyn 180ep,success/test,25,130,164060,30.092998504638672
CT-SeqTrack A2-order-dyn 180ep,success/test,26,135,170370,31.653175354003906
CT-SeqTrack A2-order-dyn 180ep,success/test,27,140,176680,30.432165145874023
CT-SeqTrack A2-order-dyn 180ep,success/test,28,145,182990,30.528446197509766
CT-SeqTrack A2-order-dyn 180ep,success/test,29,150,189300,31.390588760375977
CT-SeqTrack A2-order-dyn 180ep,success/test,30,155,195610,30.460617065429688
CT-SeqTrack A2-order-dyn 180ep,success/test,31,160,201920,31.408098220825195
CT-SeqTrack A2-order-dyn 180ep,success/test,32,165,208230,30.278995513916016
CT-SeqTrack A2-order-dyn 180ep,success/test,33,170,214540,29.703500747680664
CT-SeqTrack A2-order-dyn 180ep,success/test,34,175,220850,30.40372085571289
CT-SeqTrack A2-order-dyn 180ep,success/test,35,180,227160,30.81728744506836
CT-SeqTrack A2-order-dyn 180ep,precision/test,0,5,6310,54.50546646118164
CT-SeqTrack A2-order-dyn 180ep,precision/test,1,10,12620,51.96061706542969
CT-SeqTrack A2-order-dyn 180ep,precision/test,2,15,18930,55.76149368286133
CT-SeqTrack A2-order-dyn 180ep,precision/test,3,20,25240,43.34901428222656
CT-SeqTrack A2-order-dyn 180ep,precision/test,4,25,31550,36.935447692871094
CT-SeqTrack A2-order-dyn 180ep,precision/test,5,30,37860,43.185997009277344
CT-SeqTrack A2-order-dyn 180ep,precision/test,6,35,44170,37.59190368652344
CT-SeqTrack A2-order-dyn 180ep,precision/test,7,40,50480,35.52297592163086
CT-SeqTrack A2-order-dyn 180ep,precision/test,8,45,56790,35.56892776489258
CT-SeqTrack A2-order-dyn 180ep,precision/test,9,50,63100,32.852298736572266
CT-SeqTrack A2-order-dyn 180ep,precision/test,10,55,69410,34.5032844543457
