family,metric,statistic,baseline,corrected_twc,gap_corrected_minus_baseline
A1,success/test,Final,51.228668212890625,52.721004486083984,1.4923362731933594
A1,success/test,Best,53.29868698120117,53.567840576171875,0.2691535949707031
A1,success/test,Late mean 40-60,50.97483673095703,51.96083221435547,0.9859954833984403
A1,precision/test,Final,57.863243103027344,62.892784118652344,5.029541015625
A1,precision/test,Best,62.01531982421875,63.90153121948242,1.8862113952636719
A1,precision/test,Late mean 40-60,58.12319793701172,60.78949966430664,2.666301727294922
A2,success/test,Final,50.961708068847656,50.036109924316406,-0.92559814453125
A2,success/test,Best,51.54158020019531,50.56783676147461,-0.9737434387207031
A2,success/test,Late mean 40-60,50.601094818115236,49.26630325317383,-1.3347915649414048
A2,precision/test,Final,63.31401062011719,61.245079040527344,-2.0689315795898438
A2,precision/test,Best,63.573307037353516,63.77352523803711,0.20021820068359375
A2,precision/test,Late mean 40-60,62.52078857421875,59.98621444702148,-2.534574127197267
