epoch,b0_success,b0_precision,a0_success,a0_precision,a0_minus_b0_success,a0_minus_b0_precision,a025_success,a025_precision,a025_minus_b0_success,a025_minus_b0_precision,a075_success,a075_precision,a075_minus_b0_success,a075_minus_b0_precision,a025_minus_a0_success,a025_minus_a0_precision
5,32.39278030395508,45.43435287475586,34.22210693359375,40.10612487792969,1.8293266296386719,-5.328227996826172,27.202409744262695,37.95733642578125,-5.190370559692383,-7.477016448974609,29.114877700805664,30.53829574584961,-3.277902603149414,-14.89605712890625,-7.019697189331055,-2.1487884521484375
10,36.23085403442383,34.963897705078125,25.388404846191406,27.80306625366211,-10.842449188232422,-7.160831451416016,32.410282135009766,41.13019561767578,-3.8205718994140625,6.166297912597656,20.14551544189453,23.26696014404297,-16.085338592529297,-11.696937561035156,7.021877288818359,13.327129364013672
15,49.7385139465332,60.41575622558594,27.5306339263916,26.701311111450195,-22.2078800201416,-33.71444511413574,27.160831451416016,25.74179458618164,-22.577682495117188,-34.6739616394043,28.110504150390625,27.134572982788086,-21.628009796142578,-33.28118324279785,-0.36980247497558594,-0.9595165252685547
20,37.21772384643555,34.47921371459961,31.784465789794922,32.55908203125,-5.433258056640625,-1.9201316833496094,35.0273551940918,39.73960876464844,-2.19036865234375,5.260395050048828,26.451862335205078,31.211158752441406,-10.765861511230469,-3.268054962158203,3.242889404296875,7.1805267333984375
25,47.206787109375,49.19694137573242,46.6750602722168,50.935447692871094,-0.5317268371582031,1.7385063171386719,29.950767517089844,30.108314514160156,-17.256019592285156,-19.088626861572266,27.74726676940918,26.91904067993164,-19.45952033996582,-22.27790069580078,-16.724292755126953,-20.827133178710938
30,49.83260726928711,55.15973663330078,40.462799072265625,44.26696014404297,-9.369808197021484,-10.892776489257812,29.193655014038086,27.835887908935547,-20.638952255249023,-27.323848724365234,25.637855529785156,23.998905181884766,-24.194751739501953,-31.160831451416016,-11.269144058227539,-16.431072235107422
35,51.539390563964844,63.76258087158203,49.876365661621094,58.69146728515625,-1.66302490234375,-5.071113586425781,28.716632843017578,28.576587677001953,-22.822757720947266,-35.18599319458008,26.394969940185547,25.560176849365234,-25.144420623779297,-38.2024040222168,-21.159732818603516,-30.114879608154297
40,52.79978561401367,63.13019943237305,46.22209930419922,49.34245300292969,-6.577686309814453,-13.78774642944336,28.117067337036133,27.424509048461914,-24.68271827697754,-35.70569038391113,24.77790069580078,24.07986831665039,-28.02188491821289,-39.050331115722656,-18.105031967163086,-21.917943954467773
45,53.066741943359375,61.62582778930664,48.793216705322266,51.47483825683594,-4.273525238037109,-10.150989532470703,28.047048568725586,27.226478576660156,-25.01969337463379,-34.399349212646484,25.576587677001953,24.75164222717285,-27.490154266357422,-36.87418556213379,-20.74616813659668,-24.24835968017578
50,54.13457107543945,64.34353637695312,47.27462387084961,49.667396545410156,-6.859947204589844,-14.676139831542969,30.19803237915039,29.968271255493164,-23.936538696289062,-34.37526512145996,26.83698272705078,25.963895797729492,-27.297588348388672,-38.37964057922363,-17.07659149169922,-19.699125289916992
55,51.21991729736328,60.58753204345703,46.16083526611328,50.155364990234375,-5.05908203125,-10.432167053222656,28.635669708251953,27.71553611755371,-22.584247589111328,-32.87199592590332,25.3818359375,24.960613250732422,-25.83808135986328,-35.62691879272461,-17.525165557861328,-22.439828872680664
60,53.359954833984375,64.3818359375,47.04923629760742,49.18381118774414,-6.310718536376953,-15.19802474975586,29.580963134765625,28.862146377563477,-23.77899169921875,-35.51968955993652,26.02078628540039,24.971555709838867,-27.339168548583984,-39.41028022766113,-17.468273162841797,-20.321664810180664
