comparison,treatment,control,scope,metric,treatment_value,control_value,delta_points,evidence,caveat
W0 − SeqTrack,W0,SEQ,latest/final,Success,28.1455135345459,50.98577880859375,-22.84026527404785,historical cross-code comparison,Shared-SE(2)/current pipeline is confounded with code vintage.
W0 − SeqTrack,W0,SEQ,latest/final,Precision,27.203502655029297,59.96171188354492,-32.758209228515625,historical cross-code comparison,Shared-SE(2)/current pipeline is confounded with code vintage.
W0 − SeqTrack,W0,SEQ,late mean epoch40–60,Success,27.266740798950195,49.452734375,-22.185993576049803,historical cross-code comparison,Shared-SE(2)/current pipeline is confounded with code vintage.
W0 − SeqTrack,W0,SEQ,late mean epoch40–60,Precision,26.476586532592773,57.47461929321289,-30.998032760620116,historical cross-code comparison,Shared-SE(2)/current pipeline is confounded with code vintage.
W0 − SeqTrack,W0,SEQ,all validation points,Success,28.419402599334717,47.967906634012856,-19.54850403467814,historical cross-code comparison,Shared-SE(2)/current pipeline is confounded with code vintage.
W0 − SeqTrack,W0,SEQ,all validation points,Precision,28.593089421590168,55.92587820688883,-27.332788785298664,historical cross-code comparison,Shared-SE(2)/current pipeline is confounded with code vintage.
M2 − W0,M2,W0,latest/final,Success,52.57877731323242,28.1455135345459,24.433263778686523,matched current-code scratch bundle comparison,"Attributes the full M2 bundle, not its individual submodules."
M2 − W0,M2,W0,latest/final,Precision,62.09300231933594,27.203502655029297,34.88949966430664,matched current-code scratch bundle comparison,"Attributes the full M2 bundle, not its individual submodules."
M2 − W0,M2,W0,late mean epoch40–60,Success,50.9765869140625,27.266740798950195,23.709846115112306,matched current-code scratch bundle comparison,"Attributes the full M2 bundle, not its individual submodules."
M2 − W0,M2,W0,late mean epoch40–60,Precision,59.56039657592773,26.476586532592773,33.083810043334964,matched current-code scratch bundle comparison,"Attributes the full M2 bundle, not its individual submodules."
M2 − W0,M2,W0,all validation points,Success,46.952408154805504,28.419402599334717,18.533005555470787,matched current-code scratch bundle comparison,"Attributes the full M2 bundle, not its individual submodules."
M2 − W0,M2,W0,all validation points,Precision,54.00838883717855,28.593089421590168,25.415299415588382,matched current-code scratch bundle comparison,"Attributes the full M2 bundle, not its individual submodules."
M2 − SeqTrack,M2,SEQ,latest/final,Success,52.57877731323242,50.98577880859375,1.5929985046386719,historical reference comparison,One seed; baseline lacks current provenance and exact code parity.
M2 − SeqTrack,M2,SEQ,latest/final,Precision,62.09300231933594,59.96171188354492,2.1312904357910156,historical reference comparison,One seed; baseline lacks current provenance and exact code parity.
M2 − SeqTrack,M2,SEQ,late mean epoch40–60,Success,50.9765869140625,49.452734375,1.5238525390625028,historical reference comparison,One seed; baseline lacks current provenance and exact code parity.
M2 − SeqTrack,M2,SEQ,late mean epoch40–60,Precision,59.56039657592773,57.47461929321289,2.0857772827148438,historical reference comparison,One seed; baseline lacks current provenance and exact code parity.
M2 − SeqTrack,M2,SEQ,all validation points,Success,46.952408154805504,47.967906634012856,-1.015498479207352,historical reference comparison,One seed; baseline lacks current provenance and exact code parity.
M2 − SeqTrack,M2,SEQ,all validation points,Precision,54.00838883717855,55.92587820688883,-1.9174893697102817,historical reference comparison,One seed; baseline lacks current provenance and exact code parity.
