model,metric,eval_idx,epoch,step,value
SeqTrack baseline,success/test,0,5,6309,40.6969
SeqTrack baseline,success/test,1,10,12619,46.0908
SeqTrack baseline,success/test,2,15,18929,45.7298
SeqTrack baseline,success/test,3,20,25239,42.8851
SeqTrack baseline,success/test,4,25,31549,51.7363
SeqTrack baseline,success/test,5,30,37859,48.9289
SeqTrack baseline,success/test,6,35,44169,52.2834
SeqTrack baseline,success/test,7,40,50479,46.4781
SeqTrack baseline,success/test,8,45,56789,50.4628
SeqTrack baseline,success/test,9,50,63099,50.2024
SeqTrack baseline,success/test,10,55,69409,49.1346
SeqTrack baseline,success/test,11,60,75719,50.9858
A3-order-gate-safe,success/test,0,5,6310,50.74074172973633
A3-order-gate-safe,success/test,1,10,12620,32.24835968017578
A3-order-gate-safe,success/test,2,15,18930,35.27242660522461
A3-order-gate-safe,success/test,3,20,25240,43.86104965209961
A3-order-gate-safe,success/test,4,25,31550,42.16521453857422
A3-order-gate-safe,success/test,5,30,37860,47.565650939941406
A3-order-gate-safe,success/test,6,35,44170,43.42998504638672
A3-order-gate-safe,success/test,7,40,50480,47.78665542602539
A3-order-gate-safe,success/test,8,45,56790,48.77133560180664
A3-order-gate-safe,success/test,9,50,63100,46.71444320678711
A3-order-gate-safe,success/test,10,55,69410,50.99234771728516
A3-order-gate-safe,success/test,11,60,75720,48.3205680847168
A3-order-conf-res-gate,success/test,0,5,6310,62.03704071044922
A3-order-conf-res-gate,success/test,1,10,12620,26.701313018798828
A3-order-conf-res-gate,success/test,2,15,18930,57.777774810791016
A3-order-conf-res-gate,success/test,3,20,25240,25.664112091064453
A3-order-conf-res-gate,success/test,4,25,31550,28.758207321166992
A3-order-conf-res-gate,success/test,5,30,37860,29.132387161254883
A3-order-conf-res-gate,success/test,6,35,44170,30.970460891723636
A3-order-conf-res-gate,success/test,7,40,50480,32.9442024230957
A3-order-conf-res-gate,success/test,8,45,56790,30.475929260253903
A3-order-conf-res-gate,success/test,9,50,63100,30.59190559387207
A3-order-conf-res-gate,success/test,10,55,69410,29.456239700317383
A3-order-conf-res-gate,success/test,11,60,75720,31.173961639404297
SeqTrack baseline,precision/test,0,5,6309,41.8698
SeqTrack baseline,precision/test,1,10,12619,65.2144
SeqTrack baseline,precision/test,2,15,18929,50.5416
SeqTrack baseline,precision/test,3,20,25239,49.2309
SeqTrack baseline,precision/test,4,25,31549,60.6324
SeqTrack baseline,precision/test,5,30,37859,53.9092
SeqTrack baseline,precision/test,6,35,44169,62.3392
SeqTrack baseline,precision/test,7,40,50479,51.174
SeqTrack baseline,precision/test,8,45,56789,59.6105
SeqTrack baseline,precision/test,9,50,63099,57.3085
SeqTrack baseline,precision/test,10,55,69409,59.3184
SeqTrack baseline,precision/test,11,60,75719,59.9617
A3-order-gate-safe,precision/test,0,5,6310,49.81481552124024
A3-order-gate-safe,precision/test,1,10,12620,38.839168548583984
A3-order-gate-safe,precision/test,2,15,18930,52.96499252319336
A3-order-gate-safe,precision/test,3,20,25240,47.11378860473633
A3-order-gate-safe,precision/test,4,25,31550,43.87418365478516
A3-order-gate-safe,precision/test,5,30,37860,59.57767868041992
A3-order-gate-safe,precision/test,6,35,44170,47.23960876464844
A3-order-gate-safe,precision/test,7,40,50480,52.43872833251953
A3-order-gate-safe,precision/test,8,45,56790,55.97264862060547
A3-order-gate-safe,precision/test,9,50,63100,50.49234008789063
A3-order-gate-safe,precision/test,10,55,69410,60.16520690917969
A3-order-gate-safe,precision/test,11,60,75720,54.86542510986328
A3-order-conf-res-gate,precision/test,0,5,6310,61.481483459472656
A3-order-conf-res-gate,precision/test,1,10,12620,30.165210723876957
A3-order-conf-res-gate,precision/test,2,15,18930,76.29630279541016
A3-order-conf-res-gate,precision/test,3,20,25240,25.358861923217773
A3-order-conf-res-gate,precision/test,4,25,31550,28.701311111450195
A3-order-conf-res-gate,precision/test,5,30,37860,29.02844619750977
A3-order-conf-res-gate,precision/test,6,35,44170,31.006563186645508
A3-order-conf-res-gate,precision/test,7,40,50480,33.215538024902344
A3-order-conf-res-gate,precision/test,8,45,56790,29.61378669738769
A3-order-conf-res-gate,precision/test,9,50,63100,30.62910461425781
A3-order-conf-res-gate,precision/test,10,55,69410,28.440919876098636
A3-order-conf-res-gate,precision/test,11,60,75720,30.917945861816406
