protocol,model,metric,point_idx,epoch,step,value,run_dir
gap1124,A1-order,success/test,0,5,3570,32.102230072021484,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,1,10,7140,35.98051071166992,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,2,15,10710,42.82219314575195,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,3,20,14280,41.15552520751953,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,4,25,17850,41.10779571533203,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,5,30,21420,40.089500427246094,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,6,35,24990,43.12052917480469,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,7,40,28560,42.59944152832031,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,8,45,32130,44.17064666748047,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,9,50,35700,40.8213996887207,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,10,55,39270,42.97334671020508,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,success/test,11,60,42840,45.19291687011719,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,0,5,3570,44.3814582824707,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,1,10,7140,49.84088897705078,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,2,15,10710,52.207637786865234,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,3,20,14280,44.98210144042969,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,4,25,17850,45.71002197265625,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,5,30,21420,43.920047760009766,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,6,35,24990,47.07040023803711,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,7,40,28560,46.95903015136719,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,8,45,32130,48.68336868286133,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,9,50,35700,44.07716369628906,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,10,55,39270,46.0739860534668,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,11,60,42840,49.206443786621094,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,0,5,3570,42.14200210571289,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,1,10,7140,50.47136688232422,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,2,15,10710,41.410099029541016,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,3,20,14280,28.343278884887695,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,4,25,17850,42.126094818115234,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,5,30,21420,36.429988861083984,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,6,35,24990,50.204856872558594,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,7,40,28560,39.663883209228516,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,8,45,32130,40.04176330566406,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,9,50,35700,40.52704620361328,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,10,55,39270,40.5986442565918,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,11,60,42840,41.18336868286133,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,0,5,3570,40.614559173583984,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,1,10,7140,67.18177795410156,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,2,15,10710,52.81025695800781,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,3,20,14280,21.839696884155273,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,4,25,17850,39.568416595458984,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,5,30,21420,33.40095138549805,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,6,35,24990,57.57159423828125,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,7,40,28560,38.725135803222656,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,8,45,32130,37.60739517211914,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,9,50,35700,38.30549240112305,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,10,55,39270,40.083534240722656,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,11,60,42840,39.65592575073242,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,0,5,3530,43.64308547973633,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,1,10,7060,30.157875061035156,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,2,15,10590,52.999603271484375,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,3,20,14120,50.9972038269043,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,4,25,17650,55.081939697265625,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,5,30,21180,55.57754135131836,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,6,35,24710,56.12909698486328,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,7,40,28240,55.809356689453125,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,8,45,31770,55.10192108154297,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,9,50,35300,56.20903778076172,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,10,55,38830,56.45283508300781,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,11,60,42360,57.348121643066406,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,0,5,3530,55.66746520996094,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,1,10,7060,24.720224380493164,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,2,15,10590,67.67585754394531,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
