protocol,model,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean_all,std_all,late_mean_40_60,late_std_40_60,train_dataloader_length,seed,cfg,run_dir
gap1124,A1-order,success/test,45.19291687011719,60,42840,45.19291687011719,60,42840,0.0,41.01133632659912,3.5019476754778487,43.15155029296875,1.4813451566890565,714,42,cfgs/seqtrack3d_nuscenes_a1_order_vr_gap1124.yaml,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A1-order,precision/test,49.206443786621094,60,42840,52.207637786865234,15,10710,3.0011940002441406,46.926045735677086,2.4885164263542463,46.99999847412109,1.849555445068197,714,42,cfgs/seqtrack3d_nuscenes_a1_order_vr_gap1124.yaml,20260714-1341-seqtrack3d_nuscenes_a1_order_vr_gap1124-htv_gap1124_a1_order_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,success/test,41.18336868286133,60,42840,50.47136688232422,10,7140,9.28799819946289,41.09519942601522,5.486857613841308,40.402941131591795,0.5175760773773447,714,42,cfgs/seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124.yaml,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
gap1124,A2-order-dyn,precision/test,39.65592575073242,60,42840,67.18177795410156,10,7140,27.52585220336914,42.2803947130839,11.304736530594985,38.87549667358398,0.897108576266442,714,42,cfgs/seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124.yaml,20260714-1342-seqtrack3d_nuscenes_a2_order_dyn_vr_gap1124-htv_gap1124_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A1-order,success/test,57.348121643066406,60,42360,57.348121643066406,60,42360,0.0,52.125634829203285,7.51863071103563,56.1842544555664,0.7401797706429706,706,42,cfgs/seqtrack3d_nuscenes_a1_order_vr_burst_drop.yaml,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,69.27658081054688,60,42360,69.27658081054688,60,42360,0.0,62.62406746546427,11.937117939678187,67.4764190673828,1.5975017020677904,706,42,cfgs/seqtrack3d_nuscenes_a1_order_vr_burst_drop.yaml,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,49.8980827331543,60,42360,51.22501754760742,40,28240,1.326934814453125,43.873569329579674,5.577535994568219,48.43845062255859,1.8135985821830936,706,42,cfgs/seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop.yaml,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,54.880096435546875,60,42360,57.93164825439453,40,28240,3.0515518188476562,46.94411039352417,7.652451117306379,52.223419952392575,3.721436321034107,706,42,cfgs/seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop.yaml,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
random20,A1-order,success/test,40.718807220458984,60,61080,43.68746566772461,5,5090,2.968658447265625,39.603949864705406,4.0189248715453,40.86283950805664,0.6764872687882321,1018,42,cfgs/seqtrack3d_nuscenes_a1_order_vr_random20.yaml,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A1-order,precision/test,42.71440505981445,60,61080,51.221824645996094,5,5090,8.50741958618164,44.33170668284098,5.4910501044072735,44.01099548339844,1.4790057685832614,1018,42,cfgs/seqtrack3d_nuscenes_a1_order_vr_random20.yaml,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_random20-htv_random20_a1_order_seed42_w12_60ep_bs16
random20,A2-order-dyn,success/test,49.8089599609375,60,61080,51.5131950378418,45,45810,1.7042350769042969,45.366272608439125,7.003143201417853,48.80676040649414,1.8751238285724106,1018,42,cfgs/seqtrack3d_nuscenes_a2_order_dyn_vr_random20.yaml,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
random20,A2-order-dyn,precision/test,56.94062805175781,60,61080,60.475528717041016,45,45810,3.534900665283203,53.54441626866659,8.941274514666205,54.587134552001956,4.088237993278459,1018,42,cfgs/seqtrack3d_nuscenes_a2_order_dyn_vr_random20.yaml,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_random20-htv_random20_a2_order_dyn_seed42_w12_60ep_bs16
