protocol,metric,epoch,a1_value,a2_value,delta_a2_minus_a1
gap1124,success/test,5,32.102230072021484,42.14200210571289,10.039772033691406
gap1124,success/test,10,35.98051071166992,50.47136688232422,14.490856170654297
gap1124,success/test,15,42.82219314575195,41.410099029541016,-1.4120941162109375
gap1124,success/test,20,41.15552520751953,28.343278884887695,-12.812246322631836
gap1124,success/test,25,41.10779571533203,42.126094818115234,1.0182991027832031
gap1124,success/test,30,40.089500427246094,36.429988861083984,-3.6595115661621094
gap1124,success/test,35,43.12052917480469,50.204856872558594,7.084327697753906
gap1124,success/test,40,42.59944152832031,39.663883209228516,-2.935558319091797
gap1124,success/test,45,44.17064666748047,40.04176330566406,-4.128883361816406
gap1124,success/test,50,40.8213996887207,40.52704620361328,-0.2943534851074219
gap1124,success/test,55,42.97334671020508,40.5986442565918,-2.3747024536132812
gap1124,success/test,60,45.19291687011719,41.18336868286133,-4.009548187255859
gap1124,precision/test,5,44.3814582824707,40.614559173583984,-3.7668991088867188
gap1124,precision/test,10,49.84088897705078,67.18177795410156,17.34088897705078
gap1124,precision/test,15,52.207637786865234,52.81025695800781,0.6026191711425781
gap1124,precision/test,20,44.98210144042969,21.839696884155273,-23.142404556274414
gap1124,precision/test,25,45.71002197265625,39.568416595458984,-6.141605377197266
gap1124,precision/test,30,43.920047760009766,33.40095138549805,-10.519096374511719
gap1124,precision/test,35,47.07040023803711,57.57159423828125,10.50119400024414
gap1124,precision/test,40,46.95903015136719,38.725135803222656,-8.233894348144531
gap1124,precision/test,45,48.68336868286133,37.60739517211914,-11.075973510742188
gap1124,precision/test,50,44.07716369628906,38.30549240112305,-5.771671295166016
gap1124,precision/test,55,46.0739860534668,40.083534240722656,-5.990451812744141
gap1124,precision/test,60,49.206443786621094,39.65592575073242,-9.550518035888672
burst_drop,success/test,5,43.64308547973633,29.698240280151367,-13.944845199584961
burst_drop,success/test,10,30.157875061035156,42.607913970947266,12.45003890991211
burst_drop,success/test,15,52.999603271484375,39.69424819946289,-13.305355072021484
burst_drop,success/test,20,50.9972038269043,39.01478958129883,-11.982414245605469
burst_drop,success/test,25,55.081939697265625,46.54476547241211,-8.537174224853516
burst_drop,success/test,30,55.57754135131836,42.52798080444336,-13.049560546875
burst_drop,success/test,35,56.12909698486328,44.202640533447266,-11.926456451416016
burst_drop,success/test,40,55.809356689453125,51.22501754760742,-4.584339141845703
burst_drop,success/test,45,55.10192108154297,46.4328498840332,-8.669071197509766
burst_drop,success/test,50,56.20903778076172,47.41207504272461,-8.79696273803711
burst_drop,success/test,55,56.45283508300781,47.22422790527344,-9.228607177734375
burst_drop,success/test,60,57.348121643066406,49.8980827331543,-7.450038909912109
burst_drop,precision/test,5,55.66746520996094,27.999601364135742,-27.667863845825195
burst_drop,precision/test,10,24.720224380493164,47.1602668762207,22.44004249572754
burst_drop,precision/test,15,67.67585754394531,53.71502685546875,-13.960830688476562
burst_drop,precision/test,20,65.14388275146484,39.05076217651367,-26.093120574951172
burst_drop,precision/test,25,65.7533950805664,46.946441650390625,-18.80695343017578
burst_drop,precision/test,30,68.93486022949219,41.99839782714844,-26.93646240234375
burst_drop,precision/test,35,66.21102905273438,45.34172821044922,-20.869300842285156
burst_drop,precision/test,40,69.08473205566406,57.93164825439453,-11.153083801269531
burst_drop,precision/test,45,65.07594299316406,47.434051513671875,-17.641891479492188
burst_drop,precision/test,50,66.39688110351562,50.805355072021484,-15.59152603149414
burst_drop,precision/test,55,67.54795837402344,50.065948486328125,-17.482009887695312
burst_drop,precision/test,60,69.27658081054688,54.880096435546875,-14.396484375
random20,success/test,5,43.68746566772461,36.232818603515625,-7.454647064208984
random20,success/test,10,29.92715835571289,43.47031784057617,13.543159484863281
random20,success/test,15,32.296592712402344,25.955196380615234,-6.341396331787109
random20,success/test,20,41.47471237182617,47.86833190917969,6.393619537353516
random20,success/test,25,40.89472198486328,49.81720733642578,8.9224853515625
random20,success/test,30,43.423580169677734,49.54233169555664,6.118751525878906
random20,success/test,35,39.22896957397461,47.47526550292969,8.246295928955078
random20,success/test,40,41.2053337097168,45.845245361328125,4.639911651611328
random20,success/test,45,40.77653121948242,51.5131950378418,10.736663818359375
random20,success/test,50,39.77322769165039,48.115718841552734,8.342491149902344
random20,success/test,55,41.84029769897461,48.75068283081055,6.9103851318359375
random20,success/test,60,40.718807220458984,49.8089599609375,9.090152740478516
random20,precision/test,5,51.221824645996094,59.39252471923828,8.170700073242188
random20,precision/test,10,28.756183624267578,54.15475845336914,25.398574829101562
random20,precision/test,15,48.801536560058594,26.448598861694336,-22.352937698364258
random20,precision/test,20,49.28119659423828,60.32435989379883,11.043163299560547
random20,precision/test,25,44.836448669433594,58.965091705322266,14.128643035888672
random20,precision/test,30,47.29796600341797,58.40021896362305,11.102252960205078
random20,precision/test,35,41.7303466796875,51.91176986694336,10.18142318725586
random20,precision/test,40,45.577239990234375,48.150081634521484,2.5728416442871094
random20,precision/test,45,44.60417556762695,60.475528717041016,15.871353149414062
random20,precision/test,50,41.83617401123047,53.30263900756836,11.46646499633789
random20,precision/test,55,45.32298278808594,54.066795349121094,8.743812561035156
random20,precision/test,60,42.71440505981445,56.94062805175781,14.22622299194336
