run,epoch_bin,search_support_pct,proposal_invalid_pct,predicted_displacement_m,extension_points
Full,1-10,6.6813,25.0,0.461,18.83
Full,11-20,2.6499,67.9,0.165,8.66
Full,21-30,0.2719,96.8,0.085,1.18
Full,31-40,0.3136,97.0,0.083,0.86
Full,41-50,0.7924,93.0,0.091,1.92
Full,51-60,1.0570,90.7,0.098,2.70
-B3,1-10,6.2478,27.9,0.426,17.31
-B3,11-20,2.0746,75.8,0.144,6.82
-B3,21-30,0.1813,98.0,0.078,0.73
-B3,31-40,0.2420,97.5,0.081,0.88
-B3,41-50,0.2924,97.2,0.082,1.07
-B3,51-60,0.2953,96.9,0.081,1.01
B2-only,1-10,6.2178,28.1,0.424,17.16
B2-only,11-20,1.7208,79.4,0.131,5.91
B2-only,21-30,0.1023,98.9,0.073,0.39
B2-only,31-40,0.0768,99.2,0.071,0.27
B2-only,41-50,0.0760,99.2,0.070,0.25
B2-only,51-60,0.0534,99.5,0.068,0.09
