run_order,run_key,source_model,display_model,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,baseline_final,baseline_best,final_delta_vs_baseline,best_delta_vs_baseline,note
0,baseline_60ep,SeqTrack baseline,SeqTrack baseline,success/test,50.9858,60,75719,52.2834,35,44169,1.2976000000000028,47.967908333333334,3.4747748400575853,50.9858,52.2834,0.0,0.0,60ep baseline
0,baseline_60ep,SeqTrack baseline,SeqTrack baseline,precision/test,59.9617,60,75719,65.2144,10,12619,5.252699999999997,55.92588333333333,6.395816864669351,59.9617,65.2144,0.0,0.0,60ep baseline
1,a3_conf_res_best_e14_retest,A3-conf-res best-e14 retest,A3 best-e14 retest,success/test,28.0579891204834,14,18930,28.0579891204834,14,18930,0.0,28.0579891204834,0.0,50.9858,52.2834,-22.9278108795166,-24.225410879516602,single checkpoint test
1,a3_conf_res_best_e14_retest,A3-conf-res best-e14 retest,A3 best-e14 retest,precision/test,37.69584274291992,14,18930,37.69584274291992,14,18930,0.0,37.69584274291992,0.0,59.9617,65.2144,-22.26585725708008,-27.518557257080076,single checkpoint test
2,a2_order_dyn_seed43,A2-order-dyn seed43,A2 seed43,success/test,23.640047073364258,60,75720,45.92232131958008,5,6310,22.28227424621582,30.38129186630249,7.644551218096358,50.9858,52.2834,-27.34575292663574,-6.361078680419922,large seed regression
2,a2_order_dyn_seed43,A2-order-dyn seed43,A2 seed43,precision/test,23.765865325927734,60,75720,54.87964630126953,10,12620,31.113780975341797,35.552609284718834,11.859909025092493,59.9617,65.2144,-36.195834674072266,-10.334753698730466,large seed regression
3,a2_order_dyn_seed44,A2-order-dyn seed44,A2 seed44,success/test,46.904815673828125,60,75720,50.228668212890625,50,63100,3.3238525390625,41.98468462626139,6.557329721180235,50.9858,52.2834,-4.080984326171873,-2.0547317871093753,partial recovery
3,a2_order_dyn_seed44,A2-order-dyn seed44,A2 seed44,precision/test,52.62253952026367,60,75720,58.192562103271484,50,63100,5.5700225830078125,48.43982537587484,9.011197500774399,59.9617,65.2144,-7.339160479736329,-7.021837896728513,partial recovery
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,success/test,22.878559112548828,60,75720,30.26805305480957,5,6310,7.389493942260742,24.34555196762085,2.4349393419002197,50.9858,52.2834,-28.10724088745117,-22.01534694519043,low TWC weight still collapses
4,a2_order_dyn_twc_w001_seed42,A2-order-dyn+TWC w0.01 seed42,A2+TWC .01 seed42,precision/test,24.269147872924805,60,75720,32.156455993652344,5,6310,7.887308120727539,25.66475264231364,3.021597848442128,59.9617,65.2144,-35.692552127075196,-33.057944006347654,low TWC weight still collapses
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,32.10612869262695,60,75720,34.545955657958984,40,50480,2.4398269653320312,30.07968759536743,2.6900119682035224,50.9858,52.2834,-18.879671307373044,-17.737444342041016,rerun remains low
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,31.87417984008789,60,75720,36.50437545776367,10,12620,4.630195617675781,30.13922357559204,3.891721804821249,59.9617,65.2144,-28.08752015991211,-28.710024542236326,rerun remains low
