comparison,treatment_run,control_run,scope,metric,treatment_value,control_value,delta,interpretation_status,caveat
R1 minus A1,R1,A1,final,Success,55.30306625366211,51.228668212890625,4.074398040771484,descriptive_only,M2 effect is confounded with another 60 epochs after A1 initialization.
R1 minus A1,R1,A1,final,Precision,67.18162536621094,57.863243103027344,9.318382263183594,descriptive_only,M2 effect is confounded with another 60 epochs after A1 initialization.
R1 minus A1,R1,A1,late_mean,Success,54.67680740356445,50.97483673095703,3.7019706726074233,descriptive_only,M2 effect is confounded with another 60 epochs after A1 initialization.
R1 minus A1,R1,A1,late_mean,Precision,66.51400604248047,58.12319793701172,8.390808105468757,descriptive_only,M2 effect is confounded with another 60 epochs after A1 initialization.
R2 minus R3,R2,R3,final,Success,53.318382263183594,28.998905181884766,24.319477081298828,matched_scratch_control,"Same commit/seed/steps/data and shared-SE(2), but W0 collapses under this augmentation."
R2 minus R3,R2,R3,final,Precision,62.5032844543457,28.022977828979492,34.48030662536621,matched_scratch_control,"Same commit/seed/steps/data and shared-SE(2), but W0 collapses under this augmentation."
R2 minus R3,R2,R3,late_mean,Success,51.89431228637695,27.663677597045897,24.230634689331055,matched_scratch_control,"Same commit/seed/steps/data and shared-SE(2), but W0 collapses under this augmentation."
R2 minus R3,R2,R3,late_mean,Precision,60.25361099243164,26.48796615600586,33.76564483642578,matched_scratch_control,"Same commit/seed/steps/data and shared-SE(2), but W0 collapses under this augmentation."
R2 minus A1,R2,A1,final,Success,53.318382263183594,51.228668212890625,2.0897140502929688,historical_cross_run,"Promising reference comparison, not fully matched because A1 predates shared-SE(2)."
R2 minus A1,R2,A1,final,Precision,62.5032844543457,57.863243103027344,4.640041351318359,historical_cross_run,"Promising reference comparison, not fully matched because A1 predates shared-SE(2)."
R2 minus A1,R2,A1,late_mean,Success,51.89431228637695,50.97483673095703,0.9194755554199219,historical_cross_run,"Promising reference comparison, not fully matched because A1 predates shared-SE(2)."
R2 minus A1,R2,A1,late_mean,Precision,60.25361099243164,58.12319793701172,2.130413055419922,historical_cross_run,"Promising reference comparison, not fully matched because A1 predates shared-SE(2)."
