run_id,run_label,short_label,initialization,method,evidence_role,metric,step,epoch,value
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,6310,5,61.08534240722656
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,12620,10,61.43326187133789
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,18930,15,57.39496994018555
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,25240,20,44.54048156738281
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,31550,25,54.42341613769531
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,37860,30,54.38621139526367
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,44170,35,59.626914978027344
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,50480,40,51.8807487487793
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,56790,45,62.01531982421875
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,63100,50,59.47264862060547
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,69410,55,59.384029388427734
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Precision,75720,60,57.863243103027344
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,6310,5,51.567832946777344
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,12620,10,43.578773498535156
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,18930,15,45.6466064453125
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,25240,20,41.40591049194336
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,31550,25,49.836978912353516
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,37860,30,49.25711441040039
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,44170,35,51.85448455810547
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,50480,40,47.716636657714844
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,56790,45,53.29868698120117
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,63100,50,52.410282135009766
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,69410,55,50.21990966796875
A1,A1 historical baseline,A1 baseline,scratch,A1 / SeqTrack3D order-time,historical reference,Success,75720,60,51.228668212890625
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,6310,5,59.16521072387695
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,12620,10,37.83698272705078
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,18930,15,53.00328063964844
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,25240,20,59.274620056152344
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,31550,25,62.66192626953125
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,37860,30,65.68490600585938
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,44170,35,64.47811889648438
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,50480,40,67.3785629272461
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,56790,45,65.33150482177734
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,63100,50,67.68489837646484
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,69410,55,64.99343872070312
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Precision,75720,60,67.18162536621094
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,6310,5,44.222103118896484
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,12620,10,39.145511627197266
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,18930,15,47.56345748901367
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,25240,20,45.78883743286133
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,31550,25,53.519691467285156
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,37860,30,51.50875473022461
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,44170,35,53.981407165527344
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,50480,40,55.64879608154297
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,56790,45,53.788841247558594
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,63100,50,54.92888641357422
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,69410,55,53.714447021484375
R1,R1 A1-init M2,R1 A1-init M2,A1 last.ckpt,M2 proposal innovation,primary formal run,Success,75720,60,55.30306625366211
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,6310,5,62.12254333496094
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,12620,10,53.48139953613281
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,18930,15,29.96280288696289
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,25240,20,56.01094436645508
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,31550,25,47.6214485168457
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,37860,30,65.35667419433594
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,44170,35,50.492340087890625
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,50480,40,57.970462799072266
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,56790,45,59.307437896728516
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,63100,50,62.99671936035156
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,69410,55,58.490150451660156
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Precision,75720,60,62.5032844543457
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,6310,5,51.19146728515625
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,12620,10,45.58971405029297
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,18930,15,33.322757720947266
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,25240,20,39.847923278808594
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,31550,25,46.46717834472656
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,37860,30,53.123634338378906
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,44170,35,47.05361557006836
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,50480,40,49.2921257019043
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,56790,45,52.09956741333008
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,63100,50,53.30963134765625
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,69410,55,51.45185470581055
R2,R2 scratch M2,R2 scratch M2,scratch,M2 proposal innovation,scratch method control,Success,75720,60,53.318382263183594
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,6310,5,29.07221031188965
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,12620,10,39.36870574951172
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,18930,15,36.18052673339844
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,25240,20,22.78227424621582
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,31550,25,25.242889404296875
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,37860,30,24.328227996826172
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,44170,35,27.84792137145996
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,50480,40,25.625822067260742
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,56790,45,26.164113998413086
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,63100,50,26.87636947631836
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,69410,55,25.750547409057617
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Precision,75720,60,28.022977828979492
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,6310,5,28.510942459106445
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,12620,10,35.75820541381836
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,18930,15,29.22866439819336
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,25240,20,23.705692291259766
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,31550,25,26.128009796142578
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,37860,30,25.4431095123291
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,44170,35,28.856674194335938
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,50480,40,26.80634307861328
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,56790,45,27.79322052001953
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,63100,50,27.979215621948242
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,69410,55,26.740703582763672
R3,R3 scratch W0,R3 scratch W0,scratch,W0 without M2,matched shared-SE(2) control,Success,75720,60,28.998905181884766
