epoch,run,center_loss,observation_center_loss
1,Motion-only,0.180085112,0.207860745
2,Motion-only,0.115364179,0.102399657
3,Motion-only,0.099482018,0.084509116
4,Motion-only,0.080197966,0.075242674
5,Motion-only,0.071058943,0.069394252
6,Motion-only,0.066234948,0.067002254
7,Motion-only,0.061912530,0.062369990
8,Motion-only,0.059815076,0.060847591
9,Motion-only,0.055916182,0.057586805
10,Motion-only,0.050195011,0.054262808
11,Motion-only,0.048987379,0.052330942
12,Motion-only,0.049204874,0.052583604
13,Motion-only,0.048531125,0.051542574
14,Motion-only,0.042850907,0.045706203
15,Motion-only,0.041168743,0.044654060
1,Current B0,0.180684157,0.206687150
2,Current B0,0.117181240,0.104893887
3,Current B0,0.100774584,0.088732727
4,Current B0,0.079523045,0.076490432
5,Current B0,0.071772866,0.070721218
6,Current B0,0.066188887,0.066847557
7,Current B0,0.062205871,0.063075060
8,Current B0,0.055335994,0.057560720
9,Current B0,0.053263194,0.055189066
10,Current B0,0.048326509,0.051971589
11,Current B0,0.046998784,0.050690556
12,Current B0,0.047533619,0.050542879
13,Current B0,0.043255721,0.046374851
14,Current B0,0.042294017,0.045923417
15,Current B0,0.042296058,0.045772011
