epoch,kinematic_rmse,b1_prior_rmse,b1_relative_gain_pct,nll,coverage_ece
1,0.311266592,0.313510337,-0.720844,-2.776635030,0.175153721
2,0.312198811,0.319001584,-2.178987,-2.957372993,0.190253618
3,0.311474473,0.312849683,-0.441516,-3.004342964,0.189516430
4,0.306737315,0.296002341,3.499729,-3.090830550,0.189087891
5,0.308432794,0.295019738,4.348778,-3.109686847,0.186344854
6,0.311245988,0.296368582,4.779951,-3.139031622,0.185847256
7,0.314256293,0.297700305,5.268308,-3.162497866,0.186586973
8,0.311279984,0.293718773,5.641613,-3.188780005,0.184425155
9,0.315529235,0.295119271,6.468486,-3.217177710,0.182084578
10,0.313518542,0.292990011,6.547788,-3.259821363,0.181497334
11,0.313324716,0.294183882,6.108945,-3.262500517,0.177158995
12,0.309015300,0.288277749,6.710849,-3.273948431,0.177859125
13,0.321848329,0.298335516,7.305557,-3.269041374,0.177226960
14,0.310295072,0.286435681,7.689259,-3.314371488,0.177619077
15,0.311367651,0.287870527,7.546424,-3.320850993,0.178228931
