run,state_tensor_keys,nonfinite_tensors,module,parameter_rms,max_abs
Motion-only,387,0,seg_pointnet,0.060728282,1.201020718
Current B0,320,0,seg_pointnet,0.060732253,1.199815392
Motion-only,387,0,mini_pointnet,0.064634882,1.057388783
Current B0,320,0,mini_pointnet,0.064663678,1.059506297
Motion-only,387,0,motion_state_mlp,0.084742859,1.085565686
Current B0,320,0,motion_state_mlp,0.084826923,1.090235710
Motion-only,387,0,motion_mlp,0.083838798,1.066647172
Current B0,320,0,motion_mlp,0.083831526,1.066801906
Motion-only,387,0,feature_pointnet,0.060199693,1.041434526
Current B0,320,0,feature_pointnet,0.060182631,1.043286681
Motion-only,387,0,Transformer,0.076310858,1.202678204
Current B0,320,0,Transformer,0.076342143,1.254323006
