protocol,scope,metric,previous_a1_pred,a1_pred_history_cv,gt_history_cv,unit,verdict
standard,overall,target_point_recall_mean,0.6969232175,0.7260690195,0.9995309061,ratio,overall_gain_0.029146_below_0.05
gap1124,overall,target_point_recall_mean,0.6373055954,0.6638154957,0.9896291438,ratio,overall_gain_0.026510_below_0.05
burst_drop,overall,target_point_recall_mean,0.6324286695,0.6627425001,0.9904500248,ratio,overall_gain_0.030314_below_0.05
standard,overall,center_outside_rate,0.3151201130,0.2868582195,0.0011775789,ratio,pred_cv_net_recovers_120_endpoints
gap1124,overall,center_outside_rate,0.3638928068,0.3455571227,0.0117536436,ratio,pred_cv_net_recovers_39_endpoints
burst_drop,overall,center_outside_rate,0.3651096282,0.3441372736,0.0090562440,ratio,pred_cv_net_recovers_44_endpoints
standard,overall,crop_point_count_mean,287.5416863,284.4194536,289.8184173,points,point_ratio_0.989
gap1124,overall,crop_point_count_mean,309.4461683,303.9492243,286.1748942,points,point_ratio_0.982
burst_drop,overall,crop_point_count_mean,368.6839847,336.5600572,290.0905624,points,point_ratio_0.913
standard,displacement_gt4,target_point_recall_mean,0.1005976202,0.1931461640,0.9994020569,ratio,gain_0.092549_below_0.10
gap1124,displacement_gt4,target_point_recall_mean,0.0168164808,0.1013481442,0.9640013927,ratio,gain_0.084532_below_0.10
burst_drop,displacement_gt4,target_point_recall_mean,0.0180673979,0.1176496638,0.9669222831,ratio,gain_0.099582_below_0.10
standard,previous_prediction_error_le4,target_point_recall_mean,0.9477408431,0.9858749817,,ratio,reliable_history_positive
gap1124,previous_prediction_error_le4,target_point_recall_mean,0.9355715555,0.9733662149,,ratio,reliable_history_positive
burst_drop,previous_prediction_error_le4,target_point_recall_mean,0.9475579221,0.9864039169,,ratio,reliable_history_positive
standard,previous_prediction_error_gt4,target_point_recall_mean,0.0037086743,0.0080123400,,ratio,both_fail_after_drift
gap1124,previous_prediction_error_gt4,target_point_recall_mean,0.0093448241,0.0120961098,,ratio,both_fail_after_drift
burst_drop,previous_prediction_error_gt4,target_point_recall_mean,0.0028093716,0.0160761806,,ratio,both_fail_after_drift
standard,baseline,previous_prediction_error_p95,78.3268675179,,,m,catastrophic_tail
gap1124,baseline,previous_prediction_error_p95,89.2531069179,,,m,catastrophic_tail
burst_drop,baseline,previous_prediction_error_p95,94.8377365397,,,m,catastrophic_tail
standard,baseline,current_prediction_error_p95,84.1019812910,,,m,catastrophic_tail
gap1124,baseline,current_prediction_error_p95,101.2627485179,,,m,catastrophic_tail
burst_drop,baseline,current_prediction_error_p95,104.1383563775,,,m,catastrophic_tail
standard,baseline,empty_fallback_count,915,,,count,out_of_4246
gap1124,baseline,empty_fallback_count,425,,,count,out_of_2127
burst_drop,baseline,empty_fallback_count,430,,,count,out_of_2098
all,preregistered,decision,,,,,always_on_raw_predicted_cv_no_go
