variant,protocol,feature_count,auroc,auprc,brier,ece_10,activation_rate,operating_recall,operating_precision,operating_false_positive_rate
all_13,standard,13,0.857237,0.741879,0.120197,0.024099,0.366155,0.763872,0.589790,0.209400
all_13,gap1124,13,0.787108,0.659579,0.198319,0.134088,0.602794,0.847328,0.490066,0.471910
all_13,burst_drop,13,0.784708,0.670504,0.212059,0.155320,0.571042,0.833333,0.521327,0.425263
prev_obs_only,standard,9,0.852992,0.728411,0.122576,0.024228,0.388184,0.763872,0.556320,0.240112
prev_obs_only,gap1124,9,0.867052,0.777568,0.142650,0.061149,0.406520,0.788168,0.675941,0.202247
prev_obs_only,burst_drop,9,0.872620,0.789433,0.139971,0.057050,0.418809,0.812500,0.693053,0.200000
time_geometry_only,standard,4,0.529071,0.337503,0.202110,0.064186,0.586115,0.795750,0.383827,0.503490
time_geometry_only,gap1124,4,0.553219,0.456690,0.337948,0.273106,0.845642,0.895038,0.369001,0.819203
time_geometry_only,burst_drop,4,0.556878,0.489798,0.353688,0.291620,0.855210,0.886364,0.370253,0.837895
all_without_raw_dt,standard,12,0.857268,0.740331,0.120170,0.022294,0.368825,0.767414,0.588235,0.211726
all_without_raw_dt,gap1124,12,0.865248,0.786684,0.140293,0.061413,0.383234,0.780534,0.710069,0.170582
all_without_raw_dt,burst_drop,12,0.872420,0.803554,0.134167,0.059684,0.387009,0.797348,0.736014,0.158947
prev_obs_plus_raw_dt,standard,10,0.853068,0.730925,0.122600,0.023726,0.388184,0.762692,0.555460,0.240577
prev_obs_plus_raw_dt,gap1124,10,0.792041,0.652362,0.198882,0.125838,0.632735,0.877863,0.483701,0.501532
prev_obs_plus_raw_dt,burst_drop,10,0.789600,0.656606,0.208669,0.141648,0.611637,0.886364,0.517699,0.458947
