epoch,supervised_loss,total_loss,pftc_raw,pftc_weighted,feature_std,valid_sample_ratio,valid_pairs_per_sample,match_count,match_distance_m,fg_points_before,fg_points_after,time_weight_mean,time_weight_max,pftc_over_supervised_pct,b0_supervised_loss,supervised_delta_pct
1,4.753106646,4.803088809,0.246285169,0.249910816,0.094710958,0.633419176,2.591967116,74.980161,0.150704572,445.668717,52.911745,0.999999986,1.813358528,1.051568,4.804271215,-1.064981
5,0.793963757,0.860388997,0.066319013,0.066425241,0.081517879,0.632032488,2.595087163,74.617816,0.150688406,445.860124,52.637043,0.999999986,1.813513411,8.366281,0.803805029,-1.224336
10,0.534587827,0.551971260,0.017351750,0.017383432,0.046246975,0.635647781,2.614203645,75.876851,0.150242534,445.384048,53.480729,0.999999987,1.814325637,3.251745,0.552578746,-3.255811
15,0.438309804,0.445591084,0.007274945,0.007281281,0.029385774,0.633765848,2.606378764,75.472333,0.150320481,445.477175,53.176725,0.999999985,1.813836250,1.661218,0.461269060,-4.977411
20,0.383114015,0.386925435,0.003834455,0.003811420,0.021015497,0.632131537,2.600287242,75.125356,0.150695175,446.777822,52.847722,0.999999987,1.814324537,0.994853,0.381373041,0.456502
25,0.273498646,0.276584694,0.003097893,0.003086048,0.019284233,0.634062995,2.601228209,75.928967,0.150285062,445.751272,53.398007,0.999999987,1.815170046,1.128360,0.272094229,0.516151
30,0.252016657,0.254618783,0.002615074,0.002602126,0.017827345,0.635053487,2.603952060,75.390452,0.150564770,446.324461,53.064349,0.999999987,1.813437208,1.032521,0.255538217,-1.378095
35,0.254891966,0.257242072,0.002354249,0.002350106,0.017008501,0.633270602,2.609498811,75.803943,0.150463828,445.067464,53.595583,0.999999987,1.813635791,0.922001,0.246161563,3.546615
40,0.230240501,0.232310874,0.002081497,0.002070373,0.016010363,0.634706815,2.607616878,74.072654,0.150591724,445.541098,52.682823,0.999999986,1.814684718,0.899222,0.228880015,0.594410
45,0.224267414,0.226312888,0.002054887,0.002045474,0.015843111,0.634211569,2.602961569,74.140760,0.151088822,445.904950,52.505874,0.999999987,1.814437167,0.912069,0.220412161,1.749111
50,0.224686244,0.226718276,0.002041734,0.002032033,0.015888462,0.636192552,2.616778922,76.078001,0.150510154,444.942160,53.600974,0.999999986,1.813565642,0.904387,0.225112303,-0.189265
55,0.216924734,0.218956784,0.002042275,0.002032051,0.015859076,0.634062995,2.610439778,76.448928,0.150070192,444.538669,53.577425,0.999999986,1.814037429,0.936754,0.219406878,-1.131298
60,0.217372891,0.219349611,0.001986444,0.001976719,0.015570359,0.631933439,2.599296751,75.348986,0.150141936,445.039608,52.950590,0.999999988,1.813644961,0.909368,0.220814614,-1.558648
