run,commit,run_status,epoch,step,success,precision
B0,d86990c,complete_60ep,5,6310,32.392780,45.434353
B0,d86990c,complete_60ep,10,12620,36.230854,34.963898
B0,d86990c,complete_60ep,15,18930,49.738514,60.415756
B0,d86990c,complete_60ep,20,25240,37.217724,34.479214
B0,d86990c,complete_60ep,25,31550,47.206787,49.196941
B0,d86990c,complete_60ep,30,37860,49.832607,55.159737
B0,d86990c,complete_60ep,35,44170,51.539391,63.762581
B0,d86990c,complete_60ep,40,50480,52.799786,63.130199
B0,d86990c,complete_60ep,45,56790,53.066742,61.625828
B0,d86990c,complete_60ep,50,63100,54.134571,64.343536
B0,d86990c,complete_60ep,55,69410,51.219917,60.587532
B0,d86990c,complete_60ep,60,75720,53.359955,64.381836
DT-PFTC,5f260e7,interrupted_at_23.05ep,5,6310,44.342453,52.215534
DT-PFTC,5f260e7,interrupted_at_23.05ep,10,12620,45.852299,50.769150
DT-PFTC,5f260e7,interrupted_at_23.05ep,15,18930,43.314007,49.794312
DT-PFTC,5f260e7,interrupted_at_23.05ep,20,25240,49.055798,63.869797
