group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,epoch,step,value
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,5,6309,40.6969
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,10,12619,46.0908
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,15,18929,45.7298
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,20,25239,42.8851
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,25,31549,51.7363
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,30,37859,48.9289
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,35,44169,52.2834
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,40,50479,46.4781
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,45,56789,50.4628
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,50,63099,50.2024
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,55,69409,49.1346
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,success/test,60,75719,50.9858
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,5,6309,41.8698
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,10,12619,65.2144
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,15,18929,50.5416
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,20,25239,49.2309
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,25,31549,60.6324
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,0,main,SeqTrack baseline,SeqTrack baseline,baseline,precision/test,30,37859,53.9092
