model,metric,point_idx,epoch,step,value
SeqTrack baseline 180ep,success/test,0,5,6310,46.46061706542969
SeqTrack baseline 180ep,success/test,1,10,12620,31.657548904418945
SeqTrack baseline 180ep,success/test,2,15,18930,35.729759216308594
SeqTrack baseline 180ep,success/test,3,20,25240,43.73194885253906
SeqTrack baseline 180ep,success/test,4,25,31550,49.257110595703125
SeqTrack baseline 180ep,success/test,5,30,37860,47.86323928833008
SeqTrack baseline 180ep,success/test,6,35,44170,49.847923278808594
SeqTrack baseline 180ep,success/test,7,40,50480,45.37964630126953
SeqTrack baseline 180ep,success/test,8,45,56790,51.421226501464844
SeqTrack baseline 180ep,success/test,9,50,63100,49.23085403442383
SeqTrack baseline 180ep,success/test,10,55,69410,48.6181640625
SeqTrack baseline 180ep,success/test,11,60,75720,50.13239288330078
SeqTrack baseline 180ep,success/test,12,65,82030,50.07112121582031
SeqTrack baseline 180ep,success/test,13,70,88340,50.0010986328125
SeqTrack baseline 180ep,success/test,14,75,94650,49.30744171142578
SeqTrack baseline 180ep,success/test,15,80,100960,49.8807487487793
SeqTrack baseline 180ep,success/test,16,85,107270,49.67724609375
SeqTrack baseline 180ep,success/test,17,90,113580,49.70787811279297
SeqTrack baseline 180ep,success/test,18,95,119890,50.876365661621094
SeqTrack baseline 180ep,success/test,19,100,126200,49.4978141784668
SeqTrack baseline 180ep,success/test,20,105,132510,49.64004135131836
SeqTrack baseline 180ep,success/test,21,110,138820,49.204593658447266
SeqTrack baseline 180ep,success/test,22,115,145130,49.79103088378906
SeqTrack baseline 180ep,success/test,23,120,151440,48.96608352661133
SeqTrack baseline 180ep,success/test,24,125,157750,49.751644134521484
SeqTrack baseline 180ep,success/test,25,130,164060,49.745079040527344
SeqTrack baseline 180ep,success/test,26,135,170370,49.721004486083984
SeqTrack baseline 180ep,success/test,27,140,176680,49.23741912841797
SeqTrack baseline 180ep,success/test,28,145,182990,50.09737777709961
SeqTrack baseline 180ep,success/test,29,150,189300,49.74070358276367
SeqTrack baseline 180ep,success/test,30,155,195610,49.32713317871094
SeqTrack baseline 180ep,success/test,31,160,201920,50.44091796875
SeqTrack baseline 180ep,success/test,32,165,208230,50.12363052368164
SeqTrack baseline 180ep,success/test,33,170,214540,49.24617385864258
SeqTrack baseline 180ep,success/test,34,175,220850,49.4671745300293
SeqTrack baseline 180ep,success/test,35,180,227160,49.15427017211914
SeqTrack baseline 180ep,precision/test,0,5,6310,49.263675689697266
SeqTrack baseline 180ep,precision/test,1,10,12620,31.5010929107666
SeqTrack baseline 180ep,precision/test,2,15,18930,33.903717041015625
SeqTrack baseline 180ep,precision/test,3,20,25240,56.240699768066406
SeqTrack baseline 180ep,precision/test,4,25,31550,54.716636657714844
SeqTrack baseline 180ep,precision/test,5,30,37860,51.92341232299805
SeqTrack baseline 180ep,precision/test,6,35,44170,55.94748306274414
