comparison,interpretation,metric,statistic,minuend_value,subtrahend_value,delta,paired_view_loss_recovered_fraction
B-A,paired-view augmentation effect,success/test,Final,34.705692291259766,50.00984573364258,-15.304153442382812,
B-A,paired-view augmentation effect,success/test,Best,42.19146728515625,51.96608352661133,-9.774616241455078,
B-A,paired-view augmentation effect,success/test,Late mean 40-60,35.34726486206055,49.0566764831543,-13.70941162109375,
B-A,paired-view augmentation effect,success/test,Mean all eval points,34.60339244206747,46.03865909576416,-11.435266653696694,
B-A,paired-view augmentation effect,precision/test,Final,34.01969528198242,58.20459747314453,-24.18490219116211,
B-A,paired-view augmentation effect,precision/test,Best,42.69584274291992,60.20787811279297,-17.512035369873047,
B-A,paired-view augmentation effect,precision/test,Late mean 40-60,34.959957122802734,54.83917083740234,-19.879213714599608,
B-A,paired-view augmentation effect,precision/test,Mean all eval points,34.568108240763344,52.16055838267008,-17.59245014190674,
C-B,net corrected-TWC effect,success/test,Final,43.01422119140625,34.705692291259766,8.308528900146484,0.5428937269497783
C-B,net corrected-TWC effect,success/test,Best,45.4146614074707,42.19146728515625,3.223194122314453,0.3297514749115755
C-B,net corrected-TWC effect,success/test,Late mean 40-60,42.697374725341795,35.34726486206055,7.350109863281247,0.5361360550274913
C-B,net corrected-TWC effect,success/test,Mean all eval points,40.824034690856934,34.60339244206747,6.220642248789467,0.5439875113693577
C-B,net corrected-TWC effect,precision/test,Final,45.7614860534668,34.01969528198242,11.741790771484375,0.4855008582906396
C-B,net corrected-TWC effect,precision/test,Best,49.241798400878906,42.69584274291992,6.545955657958984,0.37379753522085535
C-B,net corrected-TWC effect,precision/test,Late mean 40-60,45.60394134521484,34.959957122802734,10.643984222412108,0.5354328584231175
C-B,net corrected-TWC effect,precision/test,Mean all eval points,44.2482697168986,34.568108240763344,9.680161476135254,0.5502452130346683
C-A,end-to-end effect vs single-view,success/test,Final,43.01422119140625,50.00984573364258,-6.995624542236328,
C-A,end-to-end effect vs single-view,success/test,Best,45.4146614074707,51.96608352661133,-6.551422119140625,
C-A,end-to-end effect vs single-view,success/test,Late mean 40-60,42.697374725341795,49.0566764831543,-6.359301757812503,
C-A,end-to-end effect vs single-view,success/test,Mean all eval points,40.824034690856934,46.03865909576416,-5.214624404907227,
C-A,end-to-end effect vs single-view,precision/test,Final,45.7614860534668,58.20459747314453,-12.443111419677734,
C-A,end-to-end effect vs single-view,precision/test,Best,49.241798400878906,60.20787811279297,-10.966079711914062,
C-A,end-to-end effect vs single-view,precision/test,Late mean 40-60,45.60394134521484,54.83917083740234,-9.2352294921875,
C-A,end-to-end effect vs single-view,precision/test,Mean all eval points,44.2482697168986,52.16055838267008,-7.912288665771484,
