model,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,late_mean_epoch40_60,late_std_epoch40_60,final_delta_vs_baseline,best_delta_vs_baseline,final_delta_vs_a1_order,best_delta_vs_a1_order,final_delta_vs_a2_order_dyn,best_delta_vs_a2_order_dyn,parent_model,final_delta_vs_parent,best_delta_vs_parent
SeqTrack baseline,precision/test,59.9617,60,75719,65.2144,10,12619,5.252699999999997,55.92588333333333,6.395816864669351,57.47462,3.2824528398135437,0.0,0.0,2.0984568969726567,3.1990801757812477,-3.352310620117187,1.641092962646475,,,
SeqTrack baseline,success/test,50.9858,60,75719,52.2834,35,44169,1.2976000000000028,47.967908333333334,3.4747748400575853,49.452740000000006,1.6051280616823074,0.0,0.0,-0.24286821289063454,-1.0152869812011716,0.024091931152341317,0.7418197998046878,,,
A1-order,precision/test,57.863243103027344,60,75719,62.01531982421875,45,56789,4.152076721191406,56.958882331848145,4.7957745824106395,58.12319793701172,3.3939674207211517,-2.0984568969726567,-3.1990801757812477,0.0,0.0,-5.450767517089844,-1.5579872131347727,,,
A1-order,success/test,51.22866821289063,60,75719,53.29868698120117,45,56789,2.0700187683105398,49.00182374318441,3.559312754166607,50.97483673095703,1.934476492620365,0.24286821289063454,1.0152869812011716,0.0,0.0,0.26696014404297586,1.7571067810058594,,,
A2-order-dyn,precision/test,63.31401062011719,60,75719,63.57330703735352,10,12619,0.25929641723633523,57.76294803619385,9.903122816696326,62.52078857421875,0.9878481260984497,3.352310620117187,-1.641092962646475,5.450767517089844,1.5579872131347727,0.0,0.0,,,
A2-order-dyn,success/test,50.961708068847656,60,75719,51.54158020019531,45,56789,0.5798721313476562,46.82768154144287,6.546487696508089,50.601094818115236,0.8451175654570066,-0.024091931152341317,-0.7418197998046878,-0.26696014404297586,-1.7571067810058594,0.0,0.0,,,
A2-order-dyn-cand1,precision/test,24.4989070892334,60,18899,54.62472534179688,5,1574,30.125818252563484,31.58980719248454,9.682322576827925,24.91334800720215,0.6384247874423046,-35.4627929107666,-10.589674658203116,-33.364336013793945,-7.390594482421868,-38.81510353088379,-8.94858169555664,A2-order-dyn,-38.81510353088379,-8.94858169555664
A2-order-dyn-cand1,success/test,26.677244186401367,60,18899,41.98577880859375,10,3149,15.308534622192383,30.446207523345947,5.18410389096195,26.74420166015625,0.7728106280140731,-24.30855581359863,-10.29762119140625,-24.551424026489265,-11.312908172607422,-24.28446388244629,-9.555801391601562,A2-order-dyn,-24.28446388244629,-9.555801391601562
A2-order-dyn-disp,precision/test,63.847923278808594,60,75719,64.80853271484375,40,50479,0.9606094360351562,54.72967020670573,13.082238079973898,63.37352600097656,1.056809711017971,3.8862232788085933,-0.4058672851562477,5.98468017578125,2.793212890625,0.5339126586914062,1.2352256774902273,A2-order-dyn,0.5339126586914062,1.2352256774902273
A2-order-dyn-disp,success/test,50.54157257080078,60,75719,52.44091796875,10,12619,1.8993453979492188,44.80178769429525,8.62945953432044,50.40590896606445,0.5431902574453135,-0.4442274291992163,0.15751796874999968,-0.6870956420898509,-0.8577690124511719,-0.420135498046875,0.8993377685546875,A2-order-dyn,-0.420135498046875,0.8993377685546875
A1-order+TWC,precision/test,61.10174560546875,60,75720,63.35011291503906,55,69410,2.2483673095703125,55.2939453125,10.470390364922704,61.831947326660156,1.4753328613314922,1.1400456054687496,-1.8642870849609352,3.2385025024414062,1.3347930908203125,-2.2122650146484375,-0.22319412231446023,A1-order,3.2385025024414062,1.3347930908203125
A1-order+TWC,success/test,51.156455993652344,60,75720,53.15645980834961,55,69410,2.0000038146972656,47.28464698791504,6.730356317200045,51.7765869140625,1.2536206782472423,0.17065599365234618,0.8730598083496091,-0.07221221923828836,-0.1422271728515625,0.1947479248046875,1.6148796081542969,A1-order,-0.07221221923828836,-0.1422271728515625
A2-order-dyn+TWC,precision/test,32.03719711303711,60,75720,57.432167053222656,5,6310,25.394969940185547,35.40682125091553,9.369713042117263,32.04989128112793,1.2120042749265665,-27.92450288696289,-7.7822329467773415,-25.826045989990234,-4.583152770996094,-31.276813507080078,-6.1411399841308665,A2-order-dyn,-31.276813507080078,-6.1411399841308665
A2-order-dyn+TWC,success/test,28.230854034423828,60,75720,45.235233306884766,10,12620,17.004379272460938,30.535558541615803,5.459001726774436,28.407659149169923,0.5005912877699626,-22.75494596557617,-7.048166693115235,-22.997814178466804,-8.063453674316406,-22.730854034423828,-6.306346893310547,A2-order-dyn,-22.730854034423828,-6.306346893310547
