comparison,tracklet_key,success_delta_left_minus_right,precision_delta_left_minus_right,center_error_delta_left_minus_right,center_error_gain_left_over_right,empty_fallback_delta_left_minus_right,max_failure_streak_delta_left_minus_right,path_center_gap_delta_left_minus_right
true:fixed,007842c92eaf4351b5a9678f7e7094f3,0.0,0.0,0.0008583992711840294,-0.0008583992711840294,0,0,
true:fixed,045cd82a77a1472499e8c15100cb5ff3,0.0,0.0,-0.009815825754612817,0.009815825754612817,0,0,
true:fixed,06ff24b7f1e8479b934f1b74348028bc,-0.588235294117645,0.0,-2.1822981519629323,2.1822981519629323,2,0,
true:fixed,0b2ef8648d3c467989b67d5a3ce2a3df,0.0,0.0,-0.013835281412879041,0.013835281412879041,0,0,
true:fixed,0bfc7d407d09490cba7ac57897fcb100,0.7692307692307736,0.0,-0.002073222353600579,0.002073222353600579,0,0,
true:fixed,0cfdfb5bbe8a41268271e24f2edefb9c,0.0,0.0,5.268356377208239e-06,-5.268356377208239e-06,0,0,
true:fixed,11a08ff383a6451bbda6b9af56cfa6e2,-3.529411764705884,-1.764705882352942,0.022502806852242707,-0.022502806852242707,0,0,
true:fixed,143ecd5e93614768bdb3da695e76c409,0.0,0.0,0.000813942594110717,-0.000813942594110717,0,0,
true:fixed,19f5d51759454803ae8bbc45bfb92737,0.0,0.0,0.0009325862312539179,-0.0009325862312539179,0,0,
true:fixed,1a018f3bcdea44f9ab60912938495032,0.0,0.0,1.0019336438046125,-1.0019336438046125,0,0,
true:fixed,1e4a740fd22b44dda3eed861e6e3f170,-0.5555555555555713,0.0,0.021779239012456486,-0.021779239012456486,0,0,
true:fixed,1f8d7e8410ed435da374688590a13b0a,-0.4166666666666572,0.0,0.0003149574040963721,-0.0003149574040963721,0,0,
true:fixed,200c440c0e9b4627ad4f3047227016a2,0.0,0.0,-0.001863223115876167,0.001863223115876167,0,0,
true:fixed,2197057ff31949819b309f2c7ec9a113,0.0,0.27777777777777146,-0.0007441312543741141,0.0007441312543741141,0,0,
true:fixed,29d3fb54f8b746118133456815b12eeb,0.0,0.0,0.00047119549666338467,-0.00047119549666338467,0,0,
true:fixed,29f69a7cb2c544c8a5ef26437a48e021,-0.882352941176471,0.0,0.005011802860700687,-0.005011802860700687,0,0,
true:fixed,2a42fd0e123c455fbaeb1c5f03dba0b2,3.4615384615384386,0.7692307692307594,-0.02738920677997521,0.02738920677997521,0,0,
true:fixed,2cc84e32d40647b185276f8d7baf5322,7.499999999999993,14.166666666666657,-0.27135471630610897,0.27135471630610897,0,0,
true:fixed,2e84949acbd84ea3857ca2a04e50b6a4,0.0,0.0,-0.0005847724316049296,0.0005847724316049296,0,0,
true:fixed,2ef4b4d20b064d34b754f68e48f5a5c2,0.625,-0.3125,-0.005992481334348876,0.005992481334348876,0,0,
true:fixed,307a3275c31f452eb9c7c66636c7bb27,0.45454545454546036,0.0,-0.0003604438261900489,0.0003604438261900489,0,0,
true:fixed,349232409f354033b215b5e37c3312ab,0.0,0.0,0.00021959628683848598,-0.00021959628683848598,0,0,
true:fixed,34daad97663c4e8ea00f842adc581ab5,0.6666666666666714,0.3333333333333428,-0.008639860577103642,0.008639860577103642,0,0,
true:fixed,3620feb00d744241a94855f3a8913a78,-3.947368421052623,-2.3684210526315894,0.05509621646476659,-0.05509621646476659,0,0,
true:fixed,377df4ee88ec46c9be892080557263f6,0.0,0.0,0.0,0.0,0,0,
true:fixed,3eb275ac391e46aa8fad54e18a7b5a8f,0.0,0.0,0.0009535774650127893,-0.0009535774650127893,0,0,
true:fixed,3eff2b1ecf29497e9967dd21509431fe,0.0,0.0,-0.0012699643319668552,0.0012699643319668552,0,0,
true:fixed,48d06a263b314b48bd41343ea5f5d158,0.0,0.0,0.00013891412616404142,-0.00013891412616404142,0,0,
true:fixed,4a8058d0441a46d381995e1af1086039,-0.5555555555555429,0.0,-0.0028613058503638156,0.0028613058503638156,0,0,
true:fixed,52770232202d4ad1a98ed07d5b4c20b9,-0.25,-0.25,0.010297045014883877,-0.010297045014883877,0,0,
true:fixed,55527032f0174fefa3b051a24707bf08,0.0,0.0,-0.002358974837854466,0.002358974837854466,0,0,
true:fixed,6346de1c47584b34833d6df500d2ed6c,-1.1538461538461604,0.0,0.0009666379319404339,-0.0009666379319404339,0,0,
true:fixed,63510eb8f6ed4b3189002b1f2648ea1f,0.0,0.0,-4.1682807739751304e-05,4.1682807739751304e-05,0,0,
true:fixed,64b22104a573415a8c860fc22214619c,0.0,0.9375,-0.1841578262909096,0.1841578262909096,0,-4,
true:fixed,64ce64c25d424c3088db384021d8dbb3,0.0,0.0,-0.00026266221782539345,0.00026266221782539345,0,0,
true:fixed,65acd0cbce474d9cb2eef362a1b279be,0.0,0.0,-0.00032966207674789416,0.00032966207674789416,0,0,
true:fixed,6786acf4f6b644639d550c608785320f,-0.2631578947368425,-0.2631578947368425,0.006320101341626749,-0.006320101341626749,0,0,
true:fixed,68dbf490d231446f92fa7dbd366c8b93,0.0,0.0,-0.0004977201361504313,0.0004977201361504313,0,0,
true:fixed,6ad58d370ed542a9a68e1fcf5a4f2ee7,0.0,0.0,-0.0008315367343576519,0.0008315367343576519,0,0,
true:fixed,6dafc154a9ef43ff8fd680620dc90433,0.0,0.0,-0.0014885873967644403,0.0014885873967644403,0,0,
true:fixed,713b6bedc51f4d1b9802a13aec39aaf3,-0.5555555555555571,0.0,0.003996194501319911,-0.003996194501319911,0,0,
true:fixed,720ca55c654a4ac8bfe9babd1c1072be,-0.3846153846153868,0.0,0.0024049034172025086,-0.0024049034172025086,0,0,
true:fixed,7328a1bef88b4e84aa2ee0d837effd8d,0.0,0.0,0.0006926739949274091,-0.0006926739949274091,0,0,
true:fixed,7581fd7e9c0f426cb0efb9ea1f3f2830,1.1538461538461604,-0.3846153846153868,0.011576186030119617,-0.011576186030119617,0,0,
true:fixed,77268b95b44a4b89ad17df89479de81c,0.0,0.3846153846153797,-0.006824223494052317,0.006824223494052317,0,0,
true:fixed,7a2612095f7840048f58d69a07e836a5,1.7857142857142776,1.0714285714285552,-0.013455260235694877,0.013455260235694877,0,0,
true:fixed,802bbdc22d21477f8803a39a5e7e98bf,0.0,0.0,0.0,0.0,0,0,
true:fixed,84755505e70547af890aff9db860f692,1.5625,2.96875,-0.0784398134041201,0.0784398134041201,0,-1,
true:fixed,85269a87307a4ee3967e37b496e32280,0.0,-0.4166666666666714,0.0019041693934654935,-0.0019041693934654935,0,0,
true:fixed,856aeb4fa2024f1284c6290a44e9dec5,0.2500000000000142,0.5,-0.0016449853901328026,0.0016449853901328026,0,0,
true:fixed,898c8b3c29d64d80806dd5e5fc6c02d3,-0.8333333333333286,0.0,0.00034672229046627673,-0.00034672229046627673,0,0,
true:fixed,8ce4fe54af77467d90c840465f69677f,-0.3333333333333144,-0.3333333333333428,0.004062237937626889,-0.004062237937626889,0,0,
true:fixed,8fba9861aa6d4d14b78c90fbb5372fb2,0.0,0.0,-0.0014386372222482402,0.0014386372222482402,0,0,
true:fixed,96c353e8f14d4a63ba2b844d43cffc42,4.230769230769241,5.384615384615358,-0.10048507275381235,0.10048507275381235,0,0,
true:fixed,98eef3fdea464efd92fb6aaf0ebe8c9a,0.0,0.0,0.0003206968576032754,-0.0003206968576032754,0,0,
true:fixed,9c5151b34911482f8155ab55c3f5d32f,0.0,0.0,0.5095125739256154,-0.5095125739256154,0,0,
true:fixed,9ca01ff2a1b54d2eafaed768e58783ad,0.2777777777777857,0.27777777777777146,-0.011991724171298512,0.011991724171298512,0,0,
true:fixed,9e5f09bc19cd473dae219194ada64f3d,0.0,-1.6666666666666714,0.029653090144169447,-0.029653090144169447,0,0,
true:fixed,a1cc58fdb3fa4a0097a315a77ce1be90,1.9999999999999858,2.0,-0.03683969331670511,0.03683969331670511,0,0,
true:fixed,a661e4cd1f644266a8307b4948082ae7,-0.5882352941176379,-0.5882352941176521,0.0022300427929761724,-0.0022300427929761724,0,0,
true:fixed,a6ca1e8c4eee458cb4981e02f58c954f,0.5555555555555429,0.0,-0.001693440087642606,0.001693440087642606,0,0,
true:fixed,a9916751b03c494dafa2eddc4496e702,0.0,0.0,-0.00013260071833595677,0.00013260071833595677,0,0,
true:fixed,b9df4a8540da4a3a94d7911ead8c1bc8,-0.8333333333333357,-1.6666666666666714,0.024698491288116187,-0.024698491288116187,0,0,
true:fixed,bbe3bc5ca1434a2ea802f5ed5062785e,0.7692307692307736,1.1538461538461604,-0.01317752859909091,0.01317752859909091,0,0,
true:fixed,c283b224a9984736bff67a2f347866fa,0.0,0.0,-1.853929382859068,1.853929382859068,0,0,
true:fixed,ca3f0ced132845b4afce73a6f27a953e,0.0,0.0,0.000577364377316647,-0.000577364377316647,0,0,
true:fixed,ca5b3ca5aea745ee8fe12b0f74d77f8e,0.2380952380952479,0.0,8.903704861618067e-06,-8.903704861618067e-06,0,0,
true:fixed,d0f5aace57684923b8a44b554b006fb2,0.0,-0.2499999999999929,0.0009429562457680118,-0.0009429562457680118,0,0,
true:fixed,d71462c2ae74472bae3adbf7a41b2fc7,0.0,0.0,0.0023291436795885856,-0.0023291436795885856,0,0,
true:fixed,db7d65690f2e412e887468596e2ddabf,1.1538461538461462,0.3846153846153726,-0.007313701974249187,0.007313701974249187,0,0,
true:fixed,dc762bf1bc694d3e8141bf592f9b1456,0.0,0.0,-0.0025420386265881945,0.0025420386265881945,0,0,
true:fixed,dce1fda2d70945c792dcc27074ec6aa9,0.25,-0.25,0.053355194716837806,-0.053355194716837806,0,0,
true:fixed,e2878e5b8aa849a18e39baee3f3440bd,-0.2380952380952408,0.0,0.00022514905714304811,-0.00022514905714304811,0,0,
true:fixed,e3f3d97fa9564422a37828d01c8a2f5f,-9.615384615384599,-6.538461538461533,0.116674644269946,-0.116674644269946,0,0,
true:fixed,e561b60694dc4514b6dddcfc5a5b6a90,0.0,0.0,0.0008571180636882947,-0.0008571180636882947,0,0,
true:fixed,e5cabb9d6b474377a206feab4ec64d3f,0.0,0.0,0.0002922590002297776,-0.0002922590002297776,0,0,
true:fixed,e73ba8faf67d40c8b6b653489393ef8b,0.0,0.0,0.00197519821264891,-0.00197519821264891,0,0,
true:fixed,eaaf60765ee8478f8e0bd4942571c6fb,0.0,0.0,-0.00010540824961302597,0.00010540824961302597,0,0,
true:fixed,ebb251e1e8b144c697dc28c22bb44b13,0.0,0.0,-0.00014004532391542757,0.00014004532391542757,0,0,
true:fixed,ec221beba32448e4a9865e920aeefed5,0.0,0.0,-9.054587897650013e-05,9.054587897650013e-05,0,0,
true:fixed,ec2a550c52b240d98c9c3bca3d06602f,0.0,0.0,-0.00028419874935703415,0.00028419874935703415,0,0,
true:fixed,ec5241e32939433baeb2b3955920b28c,-4.411764705882348,-2.058823529411768,0.03433276203061547,-0.03433276203061547,0,0,
true:fixed,f2d9e6f194ee446eafc7a79fcb32994a,0.0,0.0,0.00033734038979040676,-0.00033734038979040676,0,0,
true:fixed,f3995943006145ca8a7bc375527f0aba,0.0,0.0,0.00012732405607707165,-0.00012732405607707165,0,0,
true:fixed,f4af7fd215ee47aa8b64bac0443d7be8,0.0,0.0,0.0,0.0,0,0,
true:fixed,f5c0c1968ef0486cb3183e521841352f,0.0,0.0,-4.651218151602299e-07,4.651218151602299e-07,0,0,
true:fixed,f7f666bf92c049bea8fabc42a8831005,0.4166666666666714,0.0,-0.00032039016350659394,0.00032039016350659394,0,0,
true:fixed,f987ba5f8e6243889a731f8cffe1934b,-0.882352941176471,0.2941176470588118,-0.0108767330659017,0.0108767330659017,0,0,
true:fixed,fa6ddc168ffb4ab88b718f719357211e,-0.8823529411764781,-0.5882352941176379,0.017178684569370162,-0.017178684569370162,0,0,
true:fixed,fd4ce422e0db4ad3ab978a811ba04d3a,-0.4999999999999858,-0.75,0.009766255258538636,-0.009766255258538636,0,0,
true:fixed,fe050ab6b19d41d8bc2641f9835e9d1b,0.0,0.0,-6.133058667689983e-05,6.133058667689983e-05,0,0,
true:shuffled,007842c92eaf4351b5a9678f7e7094f3,0.0,0.0,0.00014521368063358242,-0.00014521368063358242,0,0,
true:shuffled,045cd82a77a1472499e8c15100cb5ff3,0.0,0.0,0.0050494126487024005,-0.0050494126487024005,0,0,
true:shuffled,06ff24b7f1e8479b934f1b74348028bc,-15.882352941176467,-23.529411764705884,1.2217443757494224,-1.2217443757494224,2,8,
true:shuffled,0b2ef8648d3c467989b67d5a3ce2a3df,0.0,0.0,-0.829069186264527,0.829069186264527,0,0,
true:shuffled,0bfc7d407d09490cba7ac57897fcb100,0.7692307692307736,0.0,0.0006565780544987576,-0.0006565780544987576,0,0,
true:shuffled,0cfdfb5bbe8a41268271e24f2edefb9c,0.0,0.0,-0.00013156027572319706,0.00013156027572319706,0,0,
true:shuffled,11a08ff383a6451bbda6b9af56cfa6e2,-3.529411764705884,-1.764705882352942,0.023872007976943166,-0.023872007976943166,0,0,
true:shuffled,143ecd5e93614768bdb3da695e76c409,0.0,0.0,0.002330901476877756,-0.002330901476877756,0,0,
true:shuffled,19f5d51759454803ae8bbc45bfb92737,5.000000000000014,3.333333333333343,-0.08404139376194839,0.08404139376194839,0,0,
true:shuffled,1a018f3bcdea44f9ab60912938495032,0.0,0.0,0.909549968368264,-0.909549968368264,0,0,
true:shuffled,1e4a740fd22b44dda3eed861e6e3f170,5.0,10.555555555555543,-0.20443944159617272,0.20443944159617272,0,0,
true:shuffled,1f8d7e8410ed435da374688590a13b0a,0.0,0.0,0.00014364619974646664,-0.00014364619974646664,0,0,
true:shuffled,200c440c0e9b4627ad4f3047227016a2,0.0,0.0,-0.0012636151156826259,0.0012636151156826259,0,0,
true:shuffled,2197057ff31949819b309f2c7ec9a113,0.0,0.0,0.002781574089620653,-0.002781574089620653,0,0,
true:shuffled,29d3fb54f8b746118133456815b12eeb,0.0,0.0,-0.0010692107004983131,0.0010692107004983131,0,0,
true:shuffled,29f69a7cb2c544c8a5ef26437a48e021,-0.588235294117645,-0.29411764705882604,0.008472297312354882,-0.008472297312354882,0,0,
true:shuffled,2a42fd0e123c455fbaeb1c5f03dba0b2,3.4615384615384386,0.7692307692307594,-0.027634248274368584,0.027634248274368584,0,0,
true:shuffled,2cc84e32d40647b185276f8d7baf5322,6.666666666666664,17.500000000000007,-0.33204529763813073,0.33204529763813073,0,0,
true:shuffled,2e84949acbd84ea3857ca2a04e50b6a4,0.0,0.0,0.00044324428763875545,-0.00044324428763875545,0,0,
true:shuffled,2ef4b4d20b064d34b754f68e48f5a5c2,-0.9375000000000142,-0.3125,0.0032577828788605823,-0.0032577828788605823,0,0,
true:shuffled,307a3275c31f452eb9c7c66636c7bb27,0.0,0.0,-0.0004595966517735306,0.0004595966517735306,0,0,
true:shuffled,349232409f354033b215b5e37c3312ab,0.0,0.0,0.00016098363223449041,-0.00016098363223449041,0,0,
true:shuffled,34daad97663c4e8ea00f842adc581ab5,0.6666666666666714,0.3333333333333428,-0.007209284772057789,0.007209284772057789,0,0,
true:shuffled,3620feb00d744241a94855f3a8913a78,-4.2105263157894655,-3.1578947368420955,0.06714448441358645,-0.06714448441358645,0,0,
true:shuffled,377df4ee88ec46c9be892080557263f6,0.0,0.0,-0.00015792791173971366,0.00015792791173971366,0,0,
true:shuffled,3eb275ac391e46aa8fad54e18a7b5a8f,0.0,0.0,0.0014431201582649766,-0.0014431201582649766,0,0,
true:shuffled,3eff2b1ecf29497e9967dd21509431fe,0.0,0.0,-9.224298911564288e-05,9.224298911564288e-05,0,0,
true:shuffled,48d06a263b314b48bd41343ea5f5d158,1.2499999999999858,0.625,-0.0020117501464134713,0.0020117501464134713,0,0,
true:shuffled,4a8058d0441a46d381995e1af1086039,-1.1111111111111,-0.5555555555555571,0.01409226921631207,-0.01409226921631207,0,0,
true:shuffled,52770232202d4ad1a98ed07d5b4c20b9,0.25,0.75,-0.007782001773382785,0.007782001773382785,0,0,
true:shuffled,55527032f0174fefa3b051a24707bf08,-0.2380952380952337,-0.2380952380952266,0.0014673689146673663,-0.0014673689146673663,0,0,
true:shuffled,6346de1c47584b34833d6df500d2ed6c,-0.3846153846153868,1.538461538461533,-0.012683729444937536,0.012683729444937536,0,0,
true:shuffled,63510eb8f6ed4b3189002b1f2648ea1f,0.0,0.0,0.00025761941493818163,-0.00025761941493818163,0,0,
true:shuffled,64b22104a573415a8c860fc22214619c,0.0,0.78125,-0.026384123534908266,0.026384123534908266,0,-2,
true:shuffled,64ce64c25d424c3088db384021d8dbb3,0.0,0.0,-4.755370430625794e-06,4.755370430625794e-06,0,0,
true:shuffled,65acd0cbce474d9cb2eef362a1b279be,0.0,0.0,-0.000509719883898363,0.000509719883898363,0,0,
true:shuffled,6786acf4f6b644639d550c608785320f,-0.2631578947368425,-0.2631578947368425,0.005840570937062917,-0.005840570937062917,0,0,
true:shuffled,68dbf490d231446f92fa7dbd366c8b93,0.0,0.0,-0.00011446458441902174,0.00011446458441902174,0,0,
true:shuffled,6ad58d370ed542a9a68e1fcf5a4f2ee7,0.0,0.0,9.189616772431464e-05,-9.189616772431464e-05,0,0,
true:shuffled,6dafc154a9ef43ff8fd680620dc90433,0.0,0.0,-0.0008242341024372046,0.0008242341024372046,0,0,
true:shuffled,713b6bedc51f4d1b9802a13aec39aaf3,-0.5555555555555571,0.0,0.005418604771879776,-0.005418604771879776,0,0,
