run,tracklet_key,success,precision,mean_iou,mean_center_error,frame_count,empty_fallback_count,failure_count,max_failure_streak,first_failure_frame_index,first_failure_source_frame_index,first_persistent_failure_frame_index,first_persistent_failure_source_frame_index,path_variance_count,path_center_gap_mean,path_yaw_gap_mean
A1,8ce4fe54af77467d90c840465f69677f,81.0,87.33333333333333,0.8050427655489817,0.2580632772822831,15,5,0,0,,,,,0,,
A1,f4af7fd215ee47aa8b64bac0443d7be8,88.05555555555557,93.88888888888889,0.8862727417168635,0.10625184591020814,9,0,0,0,,,,,0,,
A1,f2d9e6f194ee446eafc7a79fcb32994a,89.64285714285715,93.57142857142857,0.9045961387964754,0.1311624140759697,7,0,0,0,,,,,0,,
A1,9e5f09bc19cd473dae219194ada64f3d,70.625,75.625,0.7089509119869781,0.4853399422841291,12,0,0,0,,,,,0,,
A1,f5c0c1968ef0486cb3183e521841352f,92.70833333333334,95.625,0.9225812571383508,0.07645951675147133,12,5,0,0,,,,,0,,
A1,e561b60694dc4514b6dddcfc5a5b6a90,89.16666666666667,95.0,0.8874750164549443,0.1013626410502418,9,0,0,0,,,,,0,,
A1,c283b224a9984736bff67a2f347866fa,16.875,12.5,0.1531542591608534,22.8098438612889,8,0,7,7,1,1,1,1,0,,
A1,a6ca1e8c4eee458cb4981e02f58c954f,74.72222222222223,83.88888888888889,0.7569426182708203,0.3099585714597579,9,0,0,0,,,,,0,,
A1,898c8b3c29d64d80806dd5e5fc6c02d3,79.16666666666667,85.41666666666666,0.8023124773452354,0.2879977130888178,6,0,0,0,,,,,0,,
A1,19f5d51759454803ae8bbc45bfb92737,83.75000000000001,85.41666666666666,0.8362669800711026,0.29785270084652676,6,0,0,0,,,,,0,,
A1,dc762bf1bc694d3e8141bf592f9b1456,28.749999999999996,26.785714285714285,0.2798203813065249,9.61001196720909,14,1,9,9,5,9,5,9,0,,
A1,e73ba8faf67d40c8b6b653489393ef8b,78.67647058823528,88.8235294117647,0.789584728645394,0.22681088641677552,17,5,0,0,,,,,0,,
A1,68dbf490d231446f92fa7dbd366c8b93,86.73076923076925,92.6923076923077,0.8660457080127469,0.151408091145684,13,7,0,0,,,,,0,,
A1,713b6bedc51f4d1b9802a13aec39aaf3,83.88888888888889,92.77777777777779,0.8452785949903139,0.131356451380799,9,0,0,0,,,,,0,,
A1,200c440c0e9b4627ad4f3047227016a2,7.023809523809524,4.761904761904763,0.04785046524034636,33.776008832800855,21,15,20,20,1,1,1,1,0,,
A1,007842c92eaf4351b5a9678f7e7094f3,73.33333333333333,85.41666666666666,0.7318310015422025,0.2671944414772612,6,0,0,0,,,,,0,,
A1,1f8d7e8410ed435da374688590a13b0a,71.04166666666667,84.79166666666667,0.7089429571633344,0.3023800348821091,12,1,0,0,,,,,0,,
A1,7328a1bef88b4e84aa2ee0d837effd8d,90.00000000000001,89.28571428571428,0.8947549023679636,0.21332936955162674,7,0,0,0,,,,,0,,
A1,dce1fda2d70945c792dcc27074ec6aa9,36.62500000000001,48.62499999999999,0.3630635368189491,2.0906023290527314,20,0,4,4,16,32,16,32,0,,
A1,2a42fd0e123c455fbaeb1c5f03dba0b2,67.3076923076923,66.15384615384615,0.6766399920967717,0.6823862178907937,13,0,0,0,,,,,0,,
A1,f3995943006145ca8a7bc375527f0aba,13.33333333333333,11.111111111111112,0.11606885258581243,30.58569785809529,9,4,8,8,1,1,1,1,0,,
A1,2cc84e32d40647b185276f8d7baf5322,54.16666666666665,72.91666666666666,0.5455978161508747,0.5357960199579649,6,0,0,0,,,,,0,,
A1,d0f5aace57684923b8a44b554b006fb2,35.625,58.12499999999999,0.35890919655033865,0.8320598176053234,20,1,0,0,,,,,0,,
A1,84755505e70547af890aff9db860f692,56.56249999999999,54.84375,0.5606312148369716,2.377313995378771,16,5,7,7,9,17,9,17,0,,
A1,349232409f354033b215b5e37c3312ab,61.25000000000001,58.12500000000001,0.6234292206332896,1.3299329418888626,12,6,4,4,8,16,8,16,0,,
A1,f7f666bf92c049bea8fabc42a8831005,83.125,81.45833333333333,0.8276718932787722,0.36375237387312254,12,0,0,0,,,,,0,,
A1,b9df4a8540da4a3a94d7911ead8c1bc8,88.75,94.58333333333333,0.8912664714586431,0.11292700044825804,6,0,0,0,,,,,0,,
A1,06ff24b7f1e8479b934f1b74348028bc,16.91176470588235,14.852941176470589,0.15379151386521697,3.452372997238454,17,2,13,13,4,8,4,8,0,,
A1,96c353e8f14d4a63ba2b844d43cffc42,73.46153846153845,78.46153846153847,0.7383204257794739,0.4434081585589823,13,0,0,0,,,,,0,,
A1,eaaf60765ee8478f8e0bd4942571c6fb,39.99999999999999,52.38095238095237,0.39723192985180605,0.9485245179870605,21,0,0,0,,,,,0,,
A1,802bbdc22d21477f8803a39a5e7e98bf,74.64285714285714,81.42857142857143,0.744509449516838,0.3854005846986169,7,1,0,0,,,,,0,,
A1,ebb251e1e8b144c697dc28c22bb44b13,77.49999999999999,91.25000000000001,0.781924479996469,0.201458860797414,6,2,0,0,,,,,0,,
A1,377df4ee88ec46c9be892080557263f6,84.8076923076923,92.3076923076923,0.8488530886602224,0.15346850385930638,13,4,0,0,,,,,0,,
A1,9c5151b34911482f8155ab55c3f5d32f,17.5,14.285714285714285,0.16205900866812972,22.35599824679618,7,0,6,6,1,1,1,1,0,,
A1,3620feb00d744241a94855f3a8913a78,46.71052631578948,63.1578947368421,0.468771490107074,0.7454192865967236,19,0,0,0,,,,,0,,
A1,6346de1c47584b34833d6df500d2ed6c,75.1923076923077,88.84615384615384,0.7518551204008861,0.22057180005624383,13,0,0,0,,,,,0,,
A1,db7d65690f2e412e887468596e2ddabf,68.46153846153845,74.61538461538461,0.6816228862213219,0.5000711523242738,13,0,0,0,,,,,0,,
A1,0bfc7d407d09490cba7ac57897fcb100,80.0,89.61538461538461,0.8049084078713038,0.20305328766366992,13,0,0,0,,,,,0,,
A1,045cd82a77a1472499e8c15100cb5ff3,9.705882352941176,5.88235294117647,0.0764236459970329,11.096611698784004,17,3,16,16,1,1,1,1,0,,
A1,48d06a263b314b48bd41343ea5f5d158,80.78125,90.78124999999999,0.8093355868699195,0.18647445894395132,16,5,0,0,,,,,0,,
A1,7581fd7e9c0f426cb0efb9ea1f3f2830,91.92307692307693,93.07692307692308,0.9086761192037419,0.13876928145225842,13,0,0,0,,,,,0,,
A1,1e4a740fd22b44dda3eed861e6e3f170,76.38888888888889,86.38888888888889,0.7680767988433482,0.28243377637349165,9,3,0,0,,,,,0,,
A1,2ef4b4d20b064d34b754f68e48f5a5c2,69.375,71.09375,0.6936262673335949,0.5689927555153587,16,0,0,0,,,,,0,,
A1,143ecd5e93614768bdb3da695e76c409,70.76923076923076,78.84615384615384,0.7030800256340625,0.42731786260390936,13,0,0,0,,,,,0,,
A1,4a8058d0441a46d381995e1af1086039,81.38888888888889,78.33333333333331,0.8153907733146215,0.4334017663429353,9,0,0,0,,,,,0,,
A1,34daad97663c4e8ea00f842adc581ab5,77.50000000000001,87.99999999999999,0.7828439029361662,0.23158349057484992,15,0,0,0,,,,,0,,
A1,ca5b3ca5aea745ee8fe12b0f74d77f8e,59.28571428571428,76.66666666666666,0.5907497631193934,0.476569150029397,21,0,0,0,,,,,0,,
A1,720ca55c654a4ac8bfe9babd1c1072be,72.11538461538463,87.6923076923077,0.7218458426658411,0.2380618430283271,13,0,0,0,,,,,0,,
A1,63510eb8f6ed4b3189002b1f2648ea1f,44.642857142857146,64.46428571428571,0.44427536660966366,0.7213435136870474,14,1,0,0,,,,,0,,
A1,6dafc154a9ef43ff8fd680620dc90433,73.16666666666669,79.33333333333333,0.7294335001980321,0.41099682942293025,15,0,0,0,,,,,0,,
