comparison,tracklet_key,source_frame_index,frame_token,left_iou,right_iou,iou_delta_left_minus_right,left_center_error,right_center_error,center_error_delta_left_minus_right,center_error_gain_left_over_right,left_empty_fallback,right_empty_fallback,left_path_center_gap,right_path_center_gap
M2:A1,8ce4fe54af77467d90c840465f69677f,0,274b134fb2324486ae253eb6e24f900d,1.0000000000000582,1.0000000000000582,0.0,0.0,0.0,0.0,0.0,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,1,a977b0e797694036a9c40ab80f9d0ebc,0.9833062903637779,0.9833062903637779,0.0,0.01920937271231659,0.01920937271231659,0.0,0.0,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,2,bfbb3ba599ea450181210aa6000bad7f,0.966242600221573,0.966242600221573,0.0,0.03894868418832327,0.03894868418832327,0.0,0.0,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,3,3e92d615685942dfab6edb5a0a7678e6,0.9504042468442836,0.9504042468442836,0.0,0.05815496539415917,0.05815496539415917,0.0,0.0,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,4,5b954ca864914a37aaaf0879249ace6a,0.9348811092979189,0.9348811092979189,0.0,0.07736278174934802,0.07736278174934802,0.0,0.0,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,5,9e10d5419ffa43ce9f70766b4a5a0292,0.9195112764778942,0.9195112764778942,0.0,0.09724710792613339,0.09724710792613339,0.0,0.0,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,6,12c5d6c3dc424561b9192b76b45af6fd,0.9044441930159578,0.9044441930159578,0.0,0.11645600027478475,0.11645600027478475,0.0,0.0,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,7,882819f68f5e4be698694e673c71c6ab,0.8894572183802109,0.8894572183802109,0.0,0.13619104228987347,0.13619104228987347,0.0,0.0,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,8,f6bf5986ca8a49c082c0e4d892de767c,0.8751226479166554,0.8751226479166554,0.0,0.15539948519858146,0.15539948519858146,0.0,0.0,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,9,69e5c0a974344a2b89e9e351a5b79461,0.8610614214077082,0.8610614214077082,0.0,0.1746081326857042,0.1746081326857042,0.0,0.0,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,10,519f1a02f21d43699ca1ada7ffd38726,0.8369798525785174,0.8545329402765357,-0.017553087698018333,0.2144277828632849,0.1759367958227435,0.03849098704054141,-0.03849098704054141,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,11,c71884fb34d046258c12cf018513d8cc,0.8104409372756066,0.7724441108409167,0.037996826434689934,0.2630681521324025,0.3267917614380582,-0.06372360930565574,0.06372360930565574,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,12,ee7d01fd902d4185a54112e1f1210e41,0.7861704711574695,0.7763363604477391,0.009834110709730393,0.306710462496397,0.2955304910308408,0.011179971465556215,-0.011179971465556215,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,13,df7d0426da5346deae21136ea3cba58b,0.7660720181421797,0.7612232415248598,0.004848776617319972,0.34495842546991123,0.3185950481955042,0.02636337727440702,-0.02636337727440702,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,14,ba7fb622e77447f6aa58ab1fff9ed0cf,0.7540754632564626,0.7492002128699855,0.00487525038647707,0.3639943202563093,0.33779610462583703,0.026198215630472255,-0.026198215630472255,True,True,,
M2:A1,8ce4fe54af77467d90c840465f69677f,15,5087c0b3f84741178f42d668fbdf506f,0.7324307858503855,0.742198483164202,-0.009767697313816548,0.4078289652979468,0.33749682290021094,0.07033214239773589,-0.07033214239773589,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,16,13055b928600455db08cf9ae57d8d4c7,0.7083803045602873,0.6906814654986467,0.017698839061640603,0.45972196111974917,0.4559261223061513,0.0037958388135978516,-0.0037958388135978516,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,17,220b431fd37e436f98aa1c868eee5828,0.6871937679469423,0.6899066734139219,-0.002712905466979554,0.5065431549082091,0.4267104910040551,0.079832663904154,-0.079832663904154,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,18,4abbc508bffb4f9b957a8ad2457db2e2,0.6695271070886706,0.685380362547647,-0.015853255458976423,0.5450794027004079,0.4202525495834491,0.12482685311695879,-0.12482685311695879,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,19,103914217786464998f1e48a2c20cef0,0.6523777619709695,0.6707492196734579,-0.01837145770248838,0.5830895771452512,0.435786881589151,0.1473026955561002,-0.1473026955561002,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,20,9f35db3dd17c41e4875c2f54bd71fc29,0.6584415005846026,0.6600812086644343,-0.0016397080798317143,0.6274946039850207,0.4583885426716836,0.16910606131333705,-0.16910606131333705,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,21,8da854b2bced46f7a59f39a4d42bbfd2,0.6467472311652895,0.6661503086749342,-0.01940307750964465,0.6691440173839279,0.4542457191411264,0.21489829824280154,-0.21489829824280154,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,22,1e46c82d6a804cf1aaa9d2d6b5b5ef27,0.6464237538706464,0.6792931501988402,-0.032869396328193745,0.6661585445013428,0.4178339142094234,0.24832463029191942,-0.24832463029191942,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,23,029f10e7436740a0a04feab4ab3aeddc,0.6460074932206501,0.6785470369901891,-0.03253954376953905,0.664800936503178,0.4049655276968208,0.25983540880635714,-0.25983540880635714,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,24,d364275322c4483fbf86df22f0e7a315,0.5662160939525892,0.664026800792107,-0.09781070683951776,0.6681713205019302,0.37589917814489937,0.2922721423570308,-0.2922721423570308,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,25,c98b06812964464093b23c3734532d06,0.6494858969678409,0.3138472485207912,0.33563864844704966,0.3432361894836491,2.161367558191623,-1.8181313687079739,1.8181313687079739,False,False,,
M2:A1,8ce4fe54af77467d90c840465f69677f,26,12f431b160be4858a51cced6955c37bd,0.6459152950314063,0.3293901493819282,0.31652514564947815,0.34884287261360947,2.075453102590789,-1.7266102299771797,1.7266102299771797,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,0,12c5d6c3dc424561b9192b76b45af6fd,0.9999999999999081,0.9999999999999081,0.0,0.0,0.0,0.0,0.0,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,1,882819f68f5e4be698694e673c71c6ab,0.9738579807364874,0.9707401386256506,0.003117842110836877,0.02188650693825634,0.034105993130656,-0.01221948619239966,0.01221948619239966,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,2,f6bf5986ca8a49c082c0e4d892de767c,0.933064736234417,0.9616749370054699,-0.028610200771052918,0.08226055293795065,0.04202663628596096,0.040233916651989686,-0.040233916651989686,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,3,69e5c0a974344a2b89e9e351a5b79461,0.8979323711565887,0.9278441304266928,-0.029911759270104032,0.13600051191486753,0.107650717704988,0.028349794209879528,-0.028349794209879528,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,4,519f1a02f21d43699ca1ada7ffd38726,0.8902871380416467,0.9210757154916659,-0.030788577450019172,0.14646928926500954,0.11144693131917784,0.03502235794583171,-0.03502235794583171,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,5,c71884fb34d046258c12cf018513d8cc,0.8756558042810085,0.9058570693198321,-0.030201265038823588,0.15099021058754217,0.09913308886031395,0.051857121727228214,-0.051857121727228214,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,6,ee7d01fd902d4185a54112e1f1210e41,0.9022528018394431,0.9415987303749306,-0.03934592853548746,0.138102540728423,0.07095235211761836,0.06715018861080466,-0.06715018861080466,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,7,df7d0426da5346deae21136ea3cba58b,0.9299313261816751,0.9284001605515717,0.0015311656301033594,0.12790596343544058,0.051808359869501344,0.07609760356593924,-0.07609760356593924,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,8,ba7fb622e77447f6aa58ab1fff9ed0cf,0.9314849786725198,0.8871588471162395,0.04432613155628029,0.12281148539958907,0.08404170285216954,0.03876978254741953,-0.03876978254741953,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,9,5087c0b3f84741178f42d668fbdf506f,0.9104995840023666,0.8425292699931766,0.06797031400919007,0.11886983561523606,0.13088489878698478,-0.012015063171748719,0.012015063171748719,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,10,13055b928600455db08cf9ae57d8d4c7,0.9269549022117533,0.8343165927365169,0.09263830947523632,0.10652326088096596,0.16436467497823468,-0.057841414097268715,0.057841414097268715,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,11,220b431fd37e436f98aa1c868eee5828,0.9402847962004893,0.8179932431780255,0.12229155302246386,0.10032690747153405,0.22617573847438388,-0.12584883100284983,0.12584883100284983,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,12,4abbc508bffb4f9b957a8ad2457db2e2,0.9297696552079675,0.8263615030607443,0.10340815214722321,0.14642850180772884,0.24020778896209635,-0.09377928715436751,0.09377928715436751,False,False,,
M2:A1,f4af7fd215ee47aa8b64bac0443d7be8,13,103914217786464998f1e48a2c20cef0,0.6638764637729532,0.6728287106876247,-0.008952246914671558,0.3446530905805515,0.34059803111509207,0.004055059465459421,-0.004055059465459421,False,False,,
M2:A1,f2d9e6f194ee446eafc7a79fcb32994a,0,ba7fb622e77447f6aa58ab1fff9ed0cf,0.999999999999963,0.999999999999963,0.0,0.0,0.0,0.0,0.0,False,False,,
M2:A1,f2d9e6f194ee446eafc7a79fcb32994a,1,5087c0b3f84741178f42d668fbdf506f,0.9671629652230249,0.9430498678871073,0.0241130973359176,0.026045469652432457,0.0540790798109933,-0.028033610158560845,0.028033610158560845,False,False,,
M2:A1,f2d9e6f194ee446eafc7a79fcb32994a,2,13055b928600455db08cf9ae57d8d4c7,0.9696210188746712,0.9245301776762797,0.045090841198391574,0.0220887655176009,0.07896241016261975,-0.056873644645018845,0.056873644645018845,False,False,,
M2:A1,f2d9e6f194ee446eafc7a79fcb32994a,3,220b431fd37e436f98aa1c868eee5828,0.9717349247521065,0.8965477555792543,0.07518716917285229,0.024779905676215252,0.13025275962188884,-0.10547285394567359,0.10547285394567359,False,False,,
M2:A1,f2d9e6f194ee446eafc7a79fcb32994a,4,4abbc508bffb4f9b957a8ad2457db2e2,0.8771947993339357,0.8749578044289622,0.0022369949049735327,0.09328549453620001,0.17414504796680025,-0.08085955343060024,0.08085955343060024,False,False,,
M2:A1,f2d9e6f194ee446eafc7a79fcb32994a,5,103914217786464998f1e48a2c20cef0,0.8757455582090795,0.8534543674769202,0.02229119073215935,0.09920836459274562,0.22078570732745734,-0.12157734273471171,0.12157734273471171,False,False,,
