run,tracklet_key,success,precision,mean_iou,mean_center_error,frame_count,empty_fallback_count,failure_count,max_failure_streak,first_failure_frame_index,first_failure_source_frame_index,first_persistent_failure_frame_index,first_persistent_failure_source_frame_index,path_variance_count,path_center_gap_mean,path_yaw_gap_mean
A1,8ce4fe54af77467d90c840465f69677f,76.66666666666667,80.37037037037038,0.7654970362002657,0.39824274753931815,27,10,2,2,25,25,25,25,0,,
A1,f4af7fd215ee47aa8b64bac0443d7be8,88.57142857142858,93.75,0.8884556463262892,0.1216712081755127,14,0,0,0,,,,,0,,
A1,f2d9e6f194ee446eafc7a79fcb32994a,88.75000000000001,92.1875,0.8914374352195513,0.1575185165860711,8,0,0,0,,,,,0,,
A1,afff27c4b3934c59837d2294137735d5,98.33333333333334,98.33333333333334,0.983994539819686,0.01116034150991494,3,0,0,0,,,,,0,,
A1,58ead1aad9b544b4b8126d8723f2764f,93.75,96.24999999999999,0.9410686353518751,0.055032252158729464,2,0,0,0,,,,,0,,
A1,9e5f09bc19cd473dae219194ada64f3d,58.33333333333333,59.523809523809526,0.5831390520817807,0.8170728931144583,21,0,0,0,,,,,0,,
A1,f5c0c1968ef0486cb3183e521841352f,90.95238095238096,95.0,0.9077064738674,0.09589397935632064,21,9,0,0,,,,,0,,
A1,e561b60694dc4514b6dddcfc5a5b6a90,84.6875,93.59375,0.848605752080038,0.13230534463400964,16,0,0,0,,,,,0,,
A1,c283b224a9984736bff67a2f347866fa,12.083333333333334,8.333333333333332,0.10211495116984186,21.798537827449426,12,0,11,11,1,1,1,1,0,,
A1,a6ca1e8c4eee458cb4981e02f58c954f,62.81250000000001,68.90625,0.6266812800160604,0.6274795190742413,16,0,0,0,,,,,0,,
A1,898c8b3c29d64d80806dd5e5fc6c02d3,78.21428571428571,82.85714285714285,0.7863024272932174,0.3342591118446517,7,0,0,0,,,,,0,,
A1,19f5d51759454803ae8bbc45bfb92737,78.75000000000001,78.25,0.7915143967658946,0.4340727049155039,10,0,0,0,,,,,0,,
A1,aa8f809da9ce441ab1b01fac18e6f97b,81.25000000000003,68.75,0.8079644512037283,0.630216062093083,2,0,0,0,,,,,0,,
A1,dc762bf1bc694d3e8141bf592f9b1456,22.596153846153847,22.596153846153847,0.21449216581028002,9.947701625912762,26,1,18,18,8,8,8,8,0,,
A1,e73ba8faf67d40c8b6b653489393ef8b,78.46774193548386,90.96774193548387,0.7853220938520059,0.17727124262644392,31,9,0,0,,,,,0,,
A1,68dbf490d231446f92fa7dbd366c8b93,79.67391304347828,87.6086956521739,0.801691172924684,0.24422567429476502,23,10,0,0,,,,,0,,
A1,713b6bedc51f4d1b9802a13aec39aaf3,83.82352941176471,93.82352941176471,0.8315879866054098,0.12265594090844063,17,0,0,0,,,,,0,,
A1,200c440c0e9b4627ad4f3047227016a2,5.000000000000001,2.6315789473684204,0.026446810098382498,34.95068822373852,38,31,37,37,1,1,1,1,0,,
A1,007842c92eaf4351b5a9678f7e7094f3,73.33333333333333,86.25,0.7335596069965221,0.2638309051345873,6,0,0,0,,,,,0,,
A1,1f8d7e8410ed435da374688590a13b0a,65.375,79.625,0.6558580240445547,0.41402154641594596,20,1,0,0,,,,,0,,
A1,7328a1bef88b4e84aa2ee0d837effd8d,88.4375,87.8125,0.8828102096693978,0.24092471266764928,8,0,0,0,,,,,0,,
A1,71cb36c9a35343b7961454d5c3695a9f,90.0,96.24999999999999,0.9081150621799178,0.0819349577245706,2,0,0,0,,,,,0,,
A1,dce1fda2d70945c792dcc27074ec6aa9,36.458333333333336,39.166666666666664,0.3648383356695424,1.651335942243385,36,0,5,4,3,3,32,32,0,,
A1,2a42fd0e123c455fbaeb1c5f03dba0b2,50.86956521739131,38.04347826086957,0.5062526527286335,1.2507101676092898,23,0,0,0,,,,,0,,
A1,f3995943006145ca8a7bc375527f0aba,8.59375,6.25,0.06528872957951949,33.64226174825687,16,8,15,15,1,1,1,1,0,,
A1,2cc84e32d40647b185276f8d7baf5322,54.16666666666665,72.91666666666666,0.5459402915503597,0.535117603240968,6,0,0,0,,,,,0,,
A1,d0f5aace57684923b8a44b554b006fb2,32.7027027027027,39.729729729729726,0.3262980492176983,1.2131695883619025,37,1,0,0,,,,,0,,
A1,6f1f46b67f3d430cbf417e750fcec3c7,97.50000000000001,100.0,0.9999999999998873,0.0,1,0,0,0,,,,,0,,
A1,84755505e70547af890aff9db860f692,86.60714285714286,92.5,0.8695120399444584,0.14678403919122834,28,10,0,0,,,,,0,,
A1,349232409f354033b215b5e37c3312ab,60.25,59.00000000000001,0.5992196648929761,3.7429358383393767,20,11,7,7,13,13,13,13,0,,
A1,f7f666bf92c049bea8fabc42a8831005,75.37500000000001,71.875,0.7568390739879525,0.5482710286810963,20,0,0,0,,,,,0,,
A1,ba7ec913a8d8494e98ff60579a32acce,100.0,100.0,1.0000000000000828,0.0,1,0,0,0,,,,,0,,
A1,b9df4a8540da4a3a94d7911ead8c1bc8,84.25,90.25,0.8491900435577673,0.20590081433000101,10,0,0,0,,,,,0,,
A1,5cba59926dd04bcfaf994ab682e07460,100.0,100.0,1.0000000000000147,0.0,1,0,0,0,,,,,0,,
A1,ab820b691d3446ea889a70cd429cd931,81.25000000000001,91.875,0.8152374750840543,0.15384798451802012,4,0,0,0,,,,,0,,
A1,06ff24b7f1e8479b934f1b74348028bc,11.287878787878789,8.560606060606062,0.09342925558770211,4.190517961069366,33,2,29,29,4,4,4,4,0,,
A1,96c353e8f14d4a63ba2b844d43cffc42,65.21739130434783,62.173913043478265,0.6526069210802072,0.7623186539832314,23,0,0,0,,,,,0,,
A1,eaaf60765ee8478f8e0bd4942571c6fb,37.82051282051282,51.02564102564102,0.3775580398277128,0.9813188177411999,39,0,0,0,,,,,0,,
A1,802bbdc22d21477f8803a39a5e7e98bf,76.875,84.6875,0.7714726482792311,0.32544466432364055,8,1,0,0,,,,,0,,
A1,ebb251e1e8b144c697dc28c22bb44b13,77.49999999999999,91.25000000000001,0.7819987029492445,0.2013835823954179,6,2,0,0,,,,,0,,
A1,c7bb896c68f748c9b735ca9df26435de,66.50000000000001,83.0,0.6784787355766861,0.3064826342056101,5,0,0,0,,,,,0,,
A1,377df4ee88ec46c9be892080557263f6,79.79166666666666,89.375,0.8035754107075431,0.20890917822604058,24,4,0,0,,,,,0,,
A1,749bf5675a3d435a987f0b8582e93509,97.50000000000001,100.0,0.999999999999955,0.0,1,0,0,0,,,,,0,,
A1,9c5151b34911482f8155ab55c3f5d32f,12.045454545454545,9.09090909090909,0.10331028610677988,22.900987977792013,11,0,10,10,1,1,1,1,0,,
A1,8096b5ad8e334c2eabffca9cf3bbf08a,67.5,80.62499999999999,0.6837319124539561,0.39064108486551896,4,0,0,0,,,,,0,,
A1,3620feb00d744241a94855f3a8913a78,42.92857142857143,45.857142857142854,0.42988960033820606,1.0872798255443168,35,0,0,0,,,,,0,,
A1,f1335e8d0b7c40988d9ab522b5993d3d,75.62499999999999,88.125,0.754306232894135,0.24848789166120316,4,0,0,0,,,,,0,,
A1,6346de1c47584b34833d6df500d2ed6c,68.54166666666669,82.1875,0.6853135729438384,0.34460104132644176,24,0,0,0,,,,,0,,
A1,db7d65690f2e412e887468596e2ddabf,43.06818181818181,26.81818181818182,0.42954602657206475,1.6118873197305574,22,0,11,11,6,6,6,6,0,,
A1,0bfc7d407d09490cba7ac57897fcb100,72.60000000000001,83.39999999999999,0.7239606287330629,0.3237999843774454,25,0,0,0,,,,,0,,
A1,045cd82a77a1472499e8c15100cb5ff3,6.515151515151516,3.863636363636364,0.04363879640407018,14.12697974639619,33,12,31,17,1,1,1,1,0,,
A1,48d06a263b314b48bd41343ea5f5d158,67.94642857142858,68.48214285714288,0.6781007712989796,0.6690814308123959,28,10,6,5,21,21,21,21,0,,
A1,1377fe4255444b1495d0ccb972d8ef98,88.0,92.0,0.8866907047882325,0.15611013012435163,5,0,0,0,,,,,0,,
A1,7581fd7e9c0f426cb0efb9ea1f3f2830,78.52272727272728,77.38636363636364,0.7847113001301836,0.4575879076447741,22,0,0,0,,,,,0,,
A1,1e4a740fd22b44dda3eed861e6e3f170,68.16666666666666,73.0,0.6877992142890075,0.5397255741835316,15,5,0,0,,,,,0,,
A1,2ef4b4d20b064d34b754f68e48f5a5c2,56.96428571428571,52.05357142857142,0.5706281575535733,0.952934167909012,28,0,0,0,,,,,0,,
A1,143ecd5e93614768bdb3da695e76c409,68.04347826086956,76.95652173913044,0.6813020985722312,0.45932094683048913,23,0,0,0,,,,,0,,
A1,4a8058d0441a46d381995e1af1086039,76.875,72.34375,0.7632155895709758,0.5549613798498533,16,0,0,0,,,,,0,,
