run_label,protocol,time_mode,tracklet_id,source_tracklet_id,tracklet_key,frame_index,source_frame_index,frame_token,is_initial_frame,full_history,current_timestamp,current_delta_t_real,current_delta_t_effective,delta_t_real,delta_t_effective,history_frame_indices,history_source_frame_indices,valid_history_ratio,num_points_in_search,empty_fallback,forward_ran,previous_prediction_error,gt_displacement_from_previous_gt,iou,center_error,checkpoint_sha256,config_sha256,resolved_config_sha256,version,split,prediction_x,prediction_y,prediction_z,prediction_yaw,ground_truth_x,ground_truth_y,ground_truth_z,ground_truth_yaw,reference_x,reference_y,reference_z,reference_yaw,gt_local_disp_x,gt_local_disp_y,gt_local_disp_z,gt_local_disp_yaw,coarse_motion_x,coarse_motion_y,coarse_motion_z,coarse_motion_yaw,observation_motion_x,observation_motion_y,observation_motion_z,observation_motion_yaw,dynamics_pred_x,dynamics_pred_y,dynamics_pred_z,dynamics_clamped_x,dynamics_clamped_y,dynamics_clamped_z,dynamics_residual_x,dynamics_residual_y,dynamics_residual_z,dynamics_innovation_raw_x,dynamics_innovation_raw_y,dynamics_innovation_raw_z,dynamics_innovation_clamped_x,dynamics_innovation_clamped_y,dynamics_innovation_clamped_z,dynamics_innovation_applied_x,dynamics_innovation_applied_y,dynamics_innovation_applied_z,velocity_pred_x,velocity_pred_y,velocity_pred_z,dynamics_valid,dynamics_residual_alpha,dynamics_residual_scale_effective,dynamics_residual_raw_norm,dynamics_residual_clamped_norm,dynamics_residual_clamp_mask,dynamics_residual_applied,dynamics_innovation_raw_norm,dynamics_innovation_clamped_norm,dynamics_innovation_applied_norm,dynamics_innovation_radius,dynamics_innovation_alpha,dynamics_innovation_scale_effective,dynamics_innovation_clamp_mask,dynamics_innovation_applied_mask,dynamics_innovation_invalid_fallback,dynamics_innovation_valid,physical_time_adapter_norm,physical_time_adapter_scale_effective,obs_num_points_search,obs_soft_fg_count,obs_mean_fg_score,obs_estimated_fg_points,obs_valid_history_ratio,obs_current_delta_t_ratio,obs_dyn_center_gap,path_variance_available,path_a_empty_fallback,path_b_empty_fallback,path_a_pred_x,path_a_pred_y,path_a_pred_z,path_a_pred_yaw,path_b_pred_x,path_b_pred_y,path_b_pred_z,path_b_pred_yaw,path_center_gap,path_yaw_gap,path_anchor_gap_max,path_current_point_gap_max,path_endpoint_seed,active_crop_target_point_count,active_crop_retained_target_points,active_crop_target_point_recall,active_crop_has_target_point,active_crop_center_inside
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,1,1,a977b0e797694036a9c40ab80f9d0ebc,False,False,1533151610.446899,0.4998741149902344,0.4998741149902344,"[0.4998741149902344,0.5,0.5]","[0.4998741149902344,0.5,0.5]","[0,0,0]","[0,0,0]",0.3333333432674408,0.0,True,False,0.0,0.01920937271231659,0.9833062903637779,0.01920937271231659,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.622,1564.196,1.623,2.480915718658939,674.635,1564.186,1.613,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.01640101598199158,-8.169919919953925e-05,-0.010000000000000009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0,0,,False,True
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,2,2,bfbb3ba599ea450181210aa6000bad7f,False,False,1533151610.946785,0.49988603591918945,0.49988603591918945,"[0.49988603591918945,0.4998741149902344,0.5]","[0.49988603591918945,0.4998741149902344,0.5]","[1,0,0]","[1,0,0]",0.6666666865348816,0.0,True,False,0.01920937271231659,0.01974841765813542,0.966242600221573,0.03894868418832327,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.622,1564.196,1.623,2.480915718658939,674.648,1564.175,1.603,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.03341568344876024,0.0006261786118941492,-0.020000000000000018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0,0,,False,True
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,3,3,3e92d615685942dfab6edb5a0a7678e6,False,True,1533151611.446636,0.4998509883880615,0.4998509883880615,"[0.4998509883880615,0.49988603591918945,0.4998741149902344]","[0.4998509883880615,0.49988603591918945,0.4998741149902344]","[2,1,0]","[2,1,0]",1.0,0.0,True,False,0.03894868418832327,0.01920937271223965,0.9504042468442836,0.05815496539415917,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.622,1564.196,1.623,2.480915718658939,674.661,1564.165,1.593,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.049816699430662054,0.0005444794127643706,-0.030000000000000027,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0,0,,False,True
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,4,4,5b954ca864914a37aaaf0879249ace6a,False,True,1533151611.896734,0.45009803771972656,0.45009803771972656,"[0.45009803771972656,0.4998509883880615,0.49988603591918945]","[0.45009803771972656,0.4998509883880615,0.49988603591918945]","[3,2,1]","[3,2,1]",1.0,0.0,True,False,0.05815496539415917,0.01920937271231659,0.9348811092979189,0.07736278174934802,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.622,1564.196,1.623,2.480915718658939,674.674,1564.155,1.583,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.06621771541265363,0.0004627802135648314,-0.040000000000000036,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0,0,,False,True
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,5,5,9e10d5419ffa43ce9f70766b4a5a0292,False,True,1533151612.397179,0.5004448890686035,0.5004448890686035,"[0.5004448890686035,0.45009803771972656,0.4998509883880615]","[0.5004448890686035,0.45009803771972656,0.4998509883880615]","[4,3,2]","[4,3,2]",1.0,2.0,True,False,0.07736278174934802,0.01989974874213487,0.9195112764778942,0.09724710792613339,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.622,1564.196,1.623,2.480915718658939,674.688,1564.145,1.573,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.08340830840493843,-0.0002325704704117884,-0.050000000000000044,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0,0,,False,True
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,6,6,12c5d6c3dc424561b9192b76b45af6fd,False,True,1533151612.897588,0.5004091262817383,0.5004091262817383,"[0.5004091262817383,0.5004448890686035,0.45009803771972656]","[0.5004091262817383,0.5004448890686035,0.45009803771972656]","[5,4,3]","[5,4,3]",1.0,0.0,True,False,0.09724710792613339,0.01920937271231659,0.9044441930159578,0.11645600027478475,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.622,1564.196,1.623,2.480915718658939,674.701,1564.135,1.563,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.09980932438693002,-0.00031426966961132764,-0.06000000000000005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0,0,,False,True
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,7,7,882819f68f5e4be698694e673c71c6ab,False,True,1533151613.39802,0.500432014465332,0.500432014465332,"[0.500432014465332,0.5004091262817383,0.5004448890686035]","[0.500432014465332,0.5004091262817383,0.5004448890686035]","[6,5,4]","[6,5,4]",1.0,0.0,True,False,0.11645600027478475,0.01974841765813542,0.8894572183802109,0.13619104228987347,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.622,1564.196,1.623,2.480915718658939,674.714,1564.124,1.553,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.11682399185369868,0.00039360814148235734,-0.07000000000000006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0,0,,False,True
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,8,8,f6bf5986ca8a49c082c0e4d892de767c,False,True,1533151613.948222,0.5502018928527832,0.5502018928527832,"[0.5502018928527832,0.500432014465332,0.5004091262817383]","[0.5502018928527832,0.500432014465332,0.5004091262817383]","[7,6,5]","[7,6,5]",1.0,1.0,True,False,0.13619104228987347,0.01920937271223965,0.8751226479166554,0.15539948519858146,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.622,1564.196,1.623,2.480915718658939,674.727,1564.114,1.543,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.13322500783560048,0.0003119089423525822,-0.08000000000000007,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0,0,,False,True
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,9,9,69e5c0a974344a2b89e9e351a5b79461,False,True,1533151614.4501638,0.5019419193267822,0.5019419193267822,"[0.5019419193267822,0.5502018928527832,0.500432014465332]","[0.5019419193267822,0.5502018928527832,0.500432014465332]","[8,7,6]","[8,7,6]",1.0,1.0,True,False,0.15539948519858146,0.01920937271231659,0.8610614214077082,0.1746081326857042,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.622,1564.196,1.623,2.480915718658939,674.74,1564.104,1.533,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.14962602381759207,0.00023020974315304989,-0.09000000000000008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,0,0,,False,True
M2,standard_true,true,0,0,8ce4fe54af77467d90c840465f69677f,10,10,519f1a02f21d43699ca1ada7ffd38726,False,True,1533151614.948536,0.49837207794189453,0.49837207794189453,"[0.49837207794189453,0.5019419193267822,0.5502018928527832]","[0.49837207794189453,0.5019419193267822,0.5502018928527832]","[9,8,7]","[9,8,7]",1.0,3.0,False,True,0.1746081326857042,0.01920937271231659,0.8369798525785174,0.2144277828632849,362b3314ad056f289509818606af30fcc43d2331eb9156405ed2727bfe49658f,e0b88ddb61c1fde3289e75ef859b3f4208eb071ba15ee5c1a0eab3db03236d10,c627d174f76bb2079ad47543969bf145fc05ee7172a6bf4bd34383d34b9bd669,v1.0-mini,mini_val,674.6050524848105,1564.2112522679017,1.6246991272568703,2.4804545277199894,674.753,1564.094,1.523,2.480915718658939,674.622,1564.196,1.623,2.480915718658939,-0.16602703979958364,0.0001485105439535037,-0.10000000000000009,0.0,0.07648429274559021,0.025814004242420197,0.019839610904455185,-0.00801762193441391,0.3136712908744812,0.10361324995756149,0.022522715851664543,-0.00801762193441391,-0.00257804780267179,-0.00011907240696018562,0.01894524320960045,,,,,,,-0.3162493407726288,-0.10373232513666153,-0.0035774726420640945,-0.3162493407726288,-0.10373232513666153,-0.0035774726420640945,-0.237186998128891,-0.0777992457151413,-0.002683104481548071,-0.005172938108444214,-0.00023892271565273404,0.038014255464076996,1.0,,,,,,,0.33284658193588257,0.33284658193588257,0.24963492155075073,0.7491860389709473,0.75,1.0,0.0,1.0,0.0,1.0,1.0733071565628052,1.0,3.0,177.3587646484375,0.17320191860198975,0.5196057558059692,1.0,0.9967441558837891,,False,,,,,,,,,,,,,,,,0,0,,False,True
